FAM	DESCRIPTION	h2_liability	h2_z	TRAIT
F3	Worrier / anxious feelings	0.0994849664811323	12.052660511964731	1980
F3	Tense / 'highly strung'	0.09734057540434649	14.638724657869593	1990
F3	Nervous feelings	0.09689213836627775	13.938327909922368	1970
F3	Neuroticism score	0.09500686812137578	15.039605958678075	20127_irnt
F1	Current employment status: Unable to work because of sickness or disability	0.09476310208253162	11.153174806424346	6142_4
F3	Irritability	0.09393430998267484	12.042697165316467	1940
F2	Morning/evening person (chronotype)	0.09363225524771653	23.007174800041952	1180
F3	Fed-up feelings	0.08839548789614628	17.378386998551218	1960
F3	Mood swings	0.0844390012726756	17.979360222101203	1920
F4	Seen doctor (GP) for nerves, anxiety, tension or depression	0.07922606137165555	17.300570099883778	2090
F6	Risk taking	0.07842098517589724	16.413355731990926	2040
F4	Ever highly irritable/argumentative for 2 days	0.07758227805644183	8.386855329397301	4653
F5	Overall health rating	0.07755389383063614	23.25577858110033	2178
F3	Worry too long after embarrassment	0.07697939045723133	15.607786786362965	2000
F3	Sensitivity / hurt feelings	0.07594394879707926	14.805879425282843	1950
F7	Ever depressed for a whole week	0.07563173548797765	9.996603844596423	4598
F3	Miserableness	0.07481157402323829	13.221435107369315	1930
F2	Snoring	0.07362499761004952	18.314099560349685	1210
F3	Guilty feelings	0.06993289063365885	16.06411565372276	2030
F3	Suffer from 'nerves'	0.06894025789804181	11.789898146234668	2010
F5	Long-standing illness, disability or infirmity	0.06597644826656521	18.46967916665707	2188
F5	Illness, injury, bereavement, stress in last 2 years: Financial difficulties	0.06505631343646018	13.692824146071429	6145_6
F4	Seen a psychiatrist for nerves, anxiety, tension or depression	0.06339146403853062	12.315618111218928	2100
F2	Nap during day	0.06297813304617085	19.8342387126218	1190
F3	Loneliness, isolation	0.0611665222490581	14.400083456172784	2020
F7	Bipolar and major depression status: Probable Recurrent major depression (severe)	0.057966813886390474	3.2857680704658705	20126_3
F2	Getting up in morning	0.05534734011671234	17.255531134539602	1170
F7	Non-cancer illness code, self-reported: depression	0.053924775254468496	9.693027496426868	20002_1286
F2	Sleep duration	0.051975296348466225	15.698147310375546	1160
F7	Bipolar and major depression status: Probable Recurrent major depression (moderate)	0.051940704066923485	4.238066302831865	20126_4
F2	Sleeplessness / insomnia	0.049972391115952856	19.51279627763023	1200
F7	Illnesses of siblings: Severe depression	0.03922642004537195	7.092707487666514	20111_12
F1	Current employment status: Unemployed	0.036880390607936485	3.5693612128891865	6142_5
F2	Daytime dozing / sleeping (narcolepsy)	0.036493150446501185	15.357054950139274	1220
F7	Frequency of depressed mood in last 2 weeks	0.03253074706247919	13.134715010975038	2050
F4	Frequency of tenseness / restlessness in last 2 weeks	0.032356652709520636	13.461350327305157	2070
F5	Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault to yourself	0.03178449146564876	7.60560653180978	6145_1
F1	Current employment status: Doing unpaid or voluntary work	0.029389907928890423	4.824480054563964	6142_6
F4	Non-cancer illness code, self-reported: irritable bowel syndrome	0.02740392768831699	2.834600972422069	20002_1154
F5	Illness, injury, bereavement, stress in last 2 years: None of the above	0.026671945880984867	11.773672230869408	6145_100
F7	Illnesses of mother: Severe depression	0.02447122426379208	5.110110454147581	20110_12
F7	Illnesses of father: Severe depression	0.0243848202765852	3.5461019689506954	20107_12
F4	Home area population density - urban or rural: England/Wales - Hamlet and Isolated Dwelling - less sparse	0.023201610248421257	3.0232439238178768	20118_8
F7	Bipolar and major depression status: Single Probable major depression episode	0.021956701684423575	1.4573155914131433	20126_5
F5	Illness, injury, bereavement, stress in last 2 years: Serious illness, injury or assault of a close relative	0.020446299235789007	4.803614431366733	6145_2
F1	Job involves shift work	0.01929048280534021	7.602347486723397	826
F7	Longest period of depression	0.018882509284601855	2.6352306500676677	4609_irnt
F5	Illness, injury, bereavement, stress in last 2 years: Marital separation/divorce	0.01740076067848809	2.570321525276447	6145_5
F1	Length of working week for main job	0.01707594286090237	7.419351118691854	767_irnt
F1	Current employment status: In paid employment or self-employed	0.013267790685512695	6.192522577050772	6142_1
F5	Illness, injury, bereavement, stress in last 2 years: Death of a spouse or partner	0.011810322844828797	1.158801497248134	6145_4
F5	Illness, injury, bereavement, stress in last 2 years: Death of a close relative	0.011106311467035727	4.834810177594028	6145_3
F1	Current employment status: Retired	0.00962327501166407	4.874665140980117	6142_2
F1	Current employment status: Looking after home and/or family	0.009579233688211466	2.158665250844537	6142_3
F1	Time employed in main current job	0.009034281956724753	4.095829114966933	757_irnt
F4	Severity of manic/irritable episodes	0.007689053335807239	0.26593544635575966	5674
