chronotype measurement	1180	Morning/evening person (chronotype)
ease of getting up in the morning, self-reported	1170	Getting up in morning
insomnia	1200	Sleeplessness / insomnia
insomnia measurement	1200	Sleeplessness / insomnia
sleep duration trait	1160	Sleep duration
nap during day, self-reported	1190	Nap during day
excessive daytime sleepiness measurement	1220	Daytime dozing / sleeping
snoring measurement	1210	Snoring
neuroticism measurement	20127_irnt	Neuroticism score
risk-taking behaviour	2040	Risk taking
health satisfaction measurement	2178	Overall health rating
health trait	2178	Overall health rating
