cohort	n	mrs
blca	141	ADNP,AGRN,ASCC2,ASF1B,ATAD2,ATOH8,BATF,BATF3,BUD31,CBX2,CBX3,CDH1,CENPF,CENPK,CREB3L4,DNMT3B,DRAP1,E2F1,E2F3,E2F8,EDF1,FOXA1,FOXM1,GRHL1,GRHL2,GTF2I,HDGF,HES1,HLTF,HMG20B,HOXB7,HSBP1,HSF1,ID1,IKZF2,ILF2,IRF3,JUP,KAT2A,MCM7,MECOM,MIER2,MRPL12,MRPL28,MTA1,MTA2,MTF2,MXD3,MYBL2,NACC1,NELFA,NKRF,NME2,NOC2L,NR2F6,OTX1,OVOL1,PA2G4,PBX4,PCGF1,PIM1,PML,POLR2I,PPP1R13L,PRDM2,PRKDC,PTTG1,RARG,RBL1,RC3H1,RFX7,RFXANK,RUVBL2,SCAND1,SIRT6,SIRT7,SMAD3,SSBP4,TAF4,TAF6L,TARBP2,TCF19,TFDP1,THAP7,THOC1,TNNI2,TONSL,TOP2A,TOP2B,TP63,TRIM29,TRIP13,TSC22D4,UBE2I,VPS72,WDR77,WHSC1,YY1,ZBTB8OS,ZC3H3,ZDHHC16,ZDHHC24,ZFHX3,ZFPM1,ZKSCAN1,ZMYM1,ZNF107,ZNF131,ZNF140,ZNF254,ZNF28,ZNF296,ZNF385A,ZNF423,ZNF436,ZNF440,ZNF444,ZNF493,ZNF507,ZNF513,ZNF519,ZNF524,ZNF587,ZNF593,ZNF622,ZNF626,ZNF639,ZNF652,ZNF664,ZNF681,ZNF687,ZNF695,ZNF706,ZNF708,ZNF750,ZNF765,ZNF846,ZNF92,ZNHIT1,ZNRD1,ZSCAN16
brca	129	ADNP,AFF3,APP,AR,ASH2L,ATAD2,ATF6,ATP8B1,BAZ1B,BLZF1,BPTF,BRD8,CDKN2A,CEBPG,CERS2,CERS6,CREB3L1,CREB3L4,CSRNP2,CTBP1,DNMT3B,E2F3,E2F8,ELK1,ENO1,ESR1,EYA4,FOXA1,FOXM1,GABPB1,GATA3,GATAD1,GPBP1,GRHL2,HDAC2,HDGF,HOMEZ,HOXC4,HSF2,ILF2,IRX5,KAT7,KDM1A,LMX1B,LZTFL1,MAZ,MIER3,MKL2,MUC1,MYB,MYBL2,MYC,NFIA,NKRF,NR2F6,OTX1,OVOL1,OVOL2,PATZ1,PGR,PRDX3,PRKDC,RARA,RBL1,RNF141,RNF4,RXRA,SALL1,SCML2,SIX1,SIX4,SMAD3,SOX12,SOX13,SOX4,SP1,SUPT4H1,TAF4,TAF5,TAF7,TAF9,TARDBP,TBX3,TCF19,TFAM,TFDP1,THAP1,TOP2A,TP53,TRERF1,TRIM27,UHRF1,USF1,VEZF1,WHSC1,XBP1,YEATS4,YY1,ZBTB9,ZC3H15,ZCCHC10,ZDHHC23,ZFHX3,ZGPAT,ZMYND10,ZMYND8,ZNF146,ZNF174,ZNF20,ZNF217,ZNF239,ZNF24,ZNF396,ZNF410,ZNF433,ZNF48,ZNF492,ZNF497,ZNF587,ZNF606,ZNF652,ZNF672,ZNF695,ZNF703,ZNF747,ZNF764,ZNF768,ZNF823,ZSCAN32
coad	118	ABT1,ACTR5,ADNP,AGRN,AKIRIN2,ASCL2,ASF1B,BCL11A,BCOR,C1QBP,CAND1,CASK,CCNH,CDCA7,CDH1,CDK8,CDX2,CIAO1,COPS5,CREB3L1,CREBBP,CTNNB1,E2F2,E2F7,ELF3,EP300,ERN2,ESRRA,ETS2,FOXM1,GBX2,GMEB2,GRHL2,GTF2IRD1,HDAC8,HNF4A,HNF4G,HNRNPAB,HOXA3,HSF1,IRF2BP2,JUP,KAT2A,KAT8,KDM5B,KLF5,KLHL31,L3MBTL1,MACC1,MAPK15,MCTS1,MECOM,MED18,MIER1,MLX,MNX1,MRPL12,MXD3,MYBL2,MYC,NELFCD,NPAS2,NR2F2,NR2F6,NUFIP1,OVOL1,PCBD1,PDLIM1,PFN1,PHF20,PLAGL2,POLR3C,POU5F1B,PPARG,PRDX3,PRMT5,PSRC1,RB1,RBBP4,RBL1,RBM39,RFXAP,RNF4,RNF6,RPL6,RPL7,SAP18,SIRT6,SIRT7,SMAD2,SMARCA2,SMARCD2,SREBF1,STAT1,SUPT20H,TAF4,TARBP1,TBX10,TCEB1,TCF19,TCF7,TDG,TMF1,TRIM16,TRIM27,UBE2I,UBE2L3,VDR,VPS25,VPS36,WDR77,ZMYND8,ZNF232,ZNF717,ZNF785,ZNRD1,ZSWIM1,ZSWIM3
gbm	118	ABCG1,ACAD8,APP,ARNTL,ATF7IP2,BASP1,BMP7,BNC2,CAMK2A,CDCA7L,CDH1,CEBPA,CHMP1A,CITED1,CREBL2,CRY1,DCAF6,DPF3,E2F6,ECSIT,ELAVL2,ESR2,ETS2,FABP4,FOXJ1,FOXM1,GTF2IRD2B,HAT1,HDAC2,HHEX,HNF4G,HOPX,ID4,IGF1,IRF8,JAZF1,KDM1A,KEAP1,KLF11,KLF17,KLF6,LHX1,LMO2,MCM2,MED9,MEF2C,MEOX2,MMP14,NARFL,NAT14,NCOA7,NEDD8,NELFCD,NR3C2,PAX6,PCGF5,PKIA,POLR2I,POU2F2,PPARG,PTOV1,RB1,RUNX2,RUVBL1,RUVBL2,SEC14L2,SFMBT2,SMARCAL1,SMARCD3,SNAI3,SOX2,SOX21,SOX9,SP140,STAT3,STAT6,TAF5,TAF6L,TCEA2,TCEA3,TCEB2,TFAP4,THRA,TP73,TSC22D4,TSHZ3,USP21,WASL,WDR77,XRCC6,YAF2,ZC3HC1,ZCCHC5,ZDHHC23,ZFP30,ZFYVE21,ZKSCAN5,ZNF177,ZNF20,ZNF212,ZNF253,ZNF286A,ZNF3,ZNF302,ZNF385A,ZNF419,ZNF443,ZNF446,ZNF527,ZNF599,ZNF606,ZNF607,ZNF671,ZNF680,ZNF764,ZNF776,ZNF853,ZSCAN21
hnsc	140	AATF,AGO2,AHCTF1,APP,ASF1B,ATAD2,BAZ1A,BCL6,BMP7,C14orf169,CBX2,CBX8,CCNK,CDK12,CDK9,CDKN2A,CENPF,CERS6,CREBBP,DLX6,DNMT1,DPF1,E2F1,E2F2,E2F4,E2F7,EHMT1,ELK4,ENO1,ESRRA,ETV4,FOSL1,FOXE1,FOXK2,FOXM1,FST,GBX2,GCLC,GLI1,GLI2,GMNN,GTF2H4,HDAC2,HELLS,HMGA1,HMGB2,HOXD11,HSF1,ILF2,ILF3,IRF6,JUP,KAT2A,KDM1A,KEAP1,KMT5A,LEF1,LHX5,MAZ,MCM2,MCM4,MCM5,MCM6,MCM7,MED10,MED12L,MED15,MNAT1,MORC2,MORF4L2,MTA1,MTA2,MYBL2,MYC,MYNN,NACC1,NEDD8,NELFB,NFE2L2,NOC2L,NOTCH3,NPAS1,PA2G4,PCGF1,PFN1,PIR,PLAGL2,PML,POGK,PRKDC,PSMC3IP,PSMD9,PSRC1,PTRF,PUF60,RBL1,RCOR2,RUVBL1,RUVBL2,SCYL1,SFSWAP,SMARCD2,SNAPC1,SOX13,SOX2,SREBF1,SSRP1,STAT1,SUV39H1,SUV39H2,TAF1,TAF2,TAF4B,TAF5,TBL1X,TBL1XR1,TCEB1,TCERG1,TCF19,TCF3,TGS1,TIMELESS,TONSL,TOP2A,TP63,TP73,TRIM28,TRIP13,UBE2I,UHRF1,XRCC6,YEATS2,YY1,ZBED2,ZC3H18,ZFP64,ZIC5,ZNF114,ZNF148,ZNF385A
kirc	86	AR,BCL6,BCL7A,BTG1,C1D,CBX3,CBX7,CCNC,CDCA7L,CDKN2A,CERS2,CREB3L4,CREG1,CRY2,DACH2,DNMT3B,E2F5,EFCAB6,ENO1,ESR1,FOXJ3,FOXM1,FOXQ1,HABP4,HDGF,HEXIM2,HNF1B,HNF4A,HOXA4,HOXC10,KDM4B,KHDRBS3,LDB2,LRPPRC,MAPK8IP1,MAPRE3,MED9,MLX,MMP14,MNAT1,MORF4L2,MYC,NFE2L3,NFIA,NME2,NR0B2,NR1H3,NR1H4,PCGF5,PFDN5,PHB2,PLAGL1,PPARG,PRDM16,RARA,RBCK1,RBPMS,RERE,RORC,SALL1,SMAD3,SND1,STAT1,TFEC,THAP1,THRA,TIGD2,TIGD4,TIGD6,TNFRSF4,TRIP13,TSG101,TSHZ1,UBE2I,WASL,ZBBX,ZCRB1,ZDHHC4,ZDHHC9,ZHX2,ZHX3,ZMYND10,ZNF219,ZNF503,ZNF622,ZNF768
laml	108	ADNP,AFF1,AGO2,ARID2,ASXL1,ATF2,BAZ1B,BAZ2B,BBX,BCLAF1,CAND1,CBX5,CCNT1,CEBPG,CHAF1B,CHD1,CHD4,CIITA,CNOT8,CREBBP,CUX2,DNAJB6,E2F2,EHMT1,ELMSAN1,EPC2,ETV6,FOXP1,FRYL,GFI1,GLI1,HDAC9,HIF1A,HIF1AN,HOXA7,IFI16,IKZF1,INHBA,IRX3,JUP,KAT6A,KDM1A,LIN54,MED12L,MED13L,MEF2A,MYSM1,PCBD2,PKNOX1,POGZ,PRDM15,PRKDC,PRMT6,RC3H2,REST,RREB1,RUNX2,SCAND2P,SEC14L2,SERTAD2,SFMBT2,SLC30A9,SMARCA2,STAT5A,STRN3,SUPT7L,TAF4B,TRIM22,YEATS2,ZBED1,ZBED2,ZC3H12B,ZC3H12C,ZC3HAV1L,ZEB2,ZFC3H1,ZFP28,ZKSCAN8,ZMIZ1,ZNF107,ZNF154,ZNF18,ZNF20,ZNF217,ZNF280C,ZNF285,ZNF33B,ZNF398,ZNF44,ZNF445,ZNF496,ZNF514,ZNF551,ZNF568,ZNF572,ZNF594,ZNF671,ZNF677,ZNF69,ZNF772,ZNF8,ZNF804A,ZNF83,ZNF91,ZRANB3,ZSCAN18,ZSCAN21,ZXDB
lgg	29	ARNTL2,ASF1A,BMP7,CDCA7,CDCA7L,CHD7,CTCF,DNAJB6,EP300,HNF4G,ING3,KDM1A,MEIS1,MEOX2,NKX2-5,OTX1,PAX5,PITX1,SCML2,SOX2,SOX9,SSRP1,TERF2,TP53,TRIM28,TSG101,UHRF1,ZBTB12,ZNF470
lihc	56	AATF,AHCTF1,BMI1,BTAF1,CDKN2A,CERS2,CHAF1A,COPS5,CREB3L4,CRY2,DEDD,E2F1,E2F8,E4F1,ECSIT,ELL2,ENY2,ESR1,FOXD2,GLMP,HDAC5,HDGF,HEXIM2,HLF,HNF1A,MCM6,MESP2,MRPL12,MRPL28,MTDH,MXI1,PIR,PMF1,PRDX3,PUF60,RCAN1,RING1,SETD2,SIRT7,SOX13,SUV39H1,TADA1,TCEA2,TCEA3,TCF7L1,TIGD6,TIMELESS,TP73,USF1,VPS25,WASL,XBP1,ZC3HC1,ZFAND2B,ZNF318,ZNF517
luad	233	AATF,ACAD8,ADNP,AGO2,AGRN,ARID5A,ASF1B,ATAD2,ATF2,ATP8B1,BARX1,BATF3,BAZ1A,BAZ1B,BCL3,BHLHA15,BLZF1,BMI1,BMP3,BRD8,BZW1,CAND1,CASK,CBX3,CBX4,CD86,CDC5L,CDH1,CDK12,CDK8,CENPF,CENPU,CERS2,CHAF1B,CHD7,CIAO1,CIITA,CNOT8,CREB3L4,CRYM,CTNNB1,DCAF6,DDX1,DEDD,DLX3,DLX6,DNMT3A,DNMT3B,E2F1,E2F2,E2F3,E2F5,E2F8,EAF2,EED,EHF,ENO1,ERCC3,ESR1,ETV4,FOXA1,FUBP1,GCLC,GMCL1,GRHL1,GRHL2,GRHL3,GTF2H4,HCLS1,HDAC1,HDAC2,HDGF,HELLS,HLTF,HMGB2,HNF1B,HOPX,ICAM1,IFI16,IFNG,IKZF1,IKZF2,IL10,IL16,ILF2,IRF1,IRF2BP2,IRF4,IRF8,IRX3,IRX5,JADE1,JUP,KDM1A,KDM5B,LMO3,LRPPRC,MACC1,MAFB,MAK,MCM2,MCM7,MED10,MED20,MED8,MEF2D,MESP1,MIER1,MNDA,MNX1,MORF4L2,MUC1,MYBL1,MYBL2,NAA15,NFE2,NFYC,NKX2-1,NONO,NOTCH2,NR1I3,NR4A2,OTX1,OVOL1,PBXIP1,PGR,PMF1,POGK,POLR3C,POU2AF1,PRKDC,PRMT5,PSMC3IP,PSRC1,PTTG1,PUF60,RBBP4,RBBP7,RBBP8,RCOR3,RELA,RELB,RNF10,RNF2,RORC,RPL7L1,RREB1,SETDB1,SIRT3,SIRT4,SIX1,SIX4,SMAD3,SMARCC1,SMARCD3,SMARCE1,SNW1,SOX4,SP100,SP3,SPDEF,SPI1,SPIB,SRCAP,STAT1,STAT2,STAT4,STAT5A,SUB1,SUMO1,SUV39H2,SUZ12,TADA1,TAF2,TAF4,TAF5L,TAF8,TBL1X,TBX21,TCEA3,TCEB1,TCF19,TERF1,TESC,TFAM,TFAP2C,TFB2M,TFEC,THRA,TONSL,TOP2A,TP53,TRAFD1,TRIM27,TRIM28,TRIP13,TRRAP,TSG101,UBE2I,USP21,VAV1,VDR,VPS25,VPS72,WNT5A,XBP1,YBX2,YY1,ZBTB10,ZBTB18,ZBTB41,ZBTB7B,ZC3H15,ZDHHC16,ZDHHC21,ZDHHC4,ZDHHC9,ZFAND6,ZNF12,ZNF131,ZNF138,ZNF207,ZNF217,ZNF267,ZNF28,ZNF280B,ZNF552,ZNF622,ZNF687,ZNF710,ZNF778,ZSCAN16,ZSWIM4
