cohort	n	mrs
blca	239	ACTN1,ADNP,AGRN,AKNA,APOE,ASCC2,ASF1B,ATAD2,ATOH8,AURKB,BATF,BATF2,BATF3,BIRC5,BTK,BUD31,CARD16,CBX2,CBX3,CD28,CD3D,CD4,CD40LG,CD74,CD86,CDC45,CDH1,CENPF,CENPK,CIITA,CREB3L4,CXCL10,DAB2,DDX39B,DLGAP5,DMTF1,DNMT3B,DRAP1,DTX3L,E2F1,E2F3,E2F8,EDF1,EIF2AK2,ETV7,FASLG,FLI1,FOXA1,FOXM1,FOXP3,GRHL1,GRHL2,GTF2I,HAVCR2,HDGF,HELZ2,HES1,HEXIM2,HLTF,HMG20B,HOXB7,HSBP1,HSF1,HSF4,ID1,IKZF1,IKZF2,IL16,ILF2,IRF1,IRF3,ITGB2,JUP,KAT2A,LGALS9,LILRB4,LYL1,MCM7,MECOM,MIER2,MNDA,MRPL12,MRPL28,MSC,MTA1,MTA2,MTF2,MXD3,MYBL2,NACC1,NCF1,NELFA,NKRF,NLRC3,NLRC5,NLRP3,NME2,NOC2L,NR2C2,NR2F6,NSD2,OSM,OTX1,OVOL1,PA2G4,PABPC1L,PARP10,PARP14,PARP9,PBX4,PCGF1,PIM1,PIM2,PLEK,PLSCR1,PML,POLR1H,POLR2I,POU2AF1,PPP1R13L,PRDM2,PRKCB,PRKDC,PSMB10,PSMB8,PSMB9,PSME2,PTTG1,PYHIN1,RAI1,RARG,RBL1,RC3H1,RELB,RFX7,RFXANK,RHOH,RIGI,RPS14,RRM2,RUVBL2,S100A8,S100A9,SALL2,SCAND1,SIRT6,SIRT7,SLA2,SLC11A1,SMAD3,SMARCC2,SP100,SP110,SP140,SPI1,SS18L1,SSBP4,STAT1,TAF4,TAF6L,TARBP2,TBX2,TBX21,TCF19,TFDP1,TFEC,TGFB1I1,THAP7,THOC1,TLR3,TMIGD3,TNFSF8,TNNI2,TONSL,TOP2A,TOP2B,TP63,TRIM21,TRIM22,TRIM29,TRIM52,TRIP13,TSC22D4,TSLIG1,UBE2I,VPS72,WDR77,YY1,ZBED2,ZBTB35,ZC3H3,ZDHHC16,ZDHHC24,ZEB2,ZFHX3,ZFPM1,ZKSCAN1,ZMYM1,ZNF107,ZNF140,ZNF169,ZNF254,ZNF28,ZNF296,ZNF337,ZNF354B,ZNF385A,ZNF423,ZNF436,ZNF440,ZNF444,ZNF493,ZNF507,ZNF513,ZNF519,ZNF524,ZNF587,ZNF593,ZNF622,ZNF626,ZNF639,ZNF652,ZNF664,ZNF681,ZNF687,ZNF695,ZNF7,ZNF706,ZNF708,ZNF750,ZNF765,ZNF789,ZNF805,ZNF831,ZNF846,ZNF92,ZNHIT1,ZSCAN16,ZSCAN32
brca	223	ADNP,AFF3,AKNA,APBB3,APOE,APP,AR,ARL2BP,ASH2L,ATAD2,ATF6,ATP8B1,AURKB,BATF2,BAZ1B,BIRC5,BLZF1,BPTF,BRD8,BTK,CARD16,CD28,CD3D,CD4,CD40LG,CD74,CD86,CDC45,CDKN2A,CEBPG,CERS2,CERS6,CIITA,CREB3L1,CREB3L4,CSRNP2,CTBP1,CXCL10,DDX39B,DLGAP5,DMTF1,DNMT3B,E2F3,E2F8,ELK1,ENO1,ESR1,ETV7,EYA4,FASLG,FLI1,FOXA1,FOXM1,FOXP3,GABPB1,GATA3,GATAD1,GPBP1,GRHL2,HAVCR2,HDAC2,HDGF,HEXIM2,HOMEZ,HOXC4,HSF2,HSF4,IGF2,IKZF1,IL16,ILF2,IRF1,IRX5,ITGB2,KAT7,KDM1A,LGALS9,LILRB4,LMX1B,LYL1,LZTFL1,MAZ,MIER3,MNDA,MRTFB,MSC,MUC1,MYB,MYBL2,MYC,NCF1,NFIA,NKRF,NLRC3,NLRC5,NLRP3,NMI,NR2C2,NR2F6,NSD2,OTX1,OVOL1,OVOL2,PABPC1L,PARP14,PARP9,PATZ1,PGR,PIM2,PLEK,PLSCR1,POU2AF1,PRDX3,PRKCB,PRKDC,PSMB8,PSMB9,PSME1,PSME2,PTTG1,PYGO1,PYHIN1,RAI1,RARA,RBL1,RELB,RHOG,RIGI,RNF141,RNF4,RRM2,RXRA,S100A8,S100A9,SALL1,SALL2,SCML2,SIX1,SIX4,SLA2,SLC11A1,SMAD3,SMARCC2,SOX12,SOX13,SOX4,SP1,SP100,SP140,SPI1,STAT1,SUPT4H1,TAF4,TAF5,TAF7,TAF9,TARDBP,TBX2,TBX21,TBX3,TCEAL3,TCF19,TEAD2,TFAM,TFDP1,TFEC,TGFB1I1,THAP1,TMIGD3,TNFSF8,TOP2A,TP53,TRERF1,TRIM22,TRIM27,TRIM52,UHRF1,USF1,VEZF1,XBP1,YEATS4,YY1,ZBED2,ZBTB9,ZC3H15,ZCCHC10,ZDHHC23,ZEB2,ZFHX3,ZGPAT,ZMYND10,ZMYND8,ZNF146,ZNF169,ZNF174,ZNF20,ZNF217,ZNF239,ZNF24,ZNF337,ZNF354B,ZNF396,ZNF410,ZNF423,ZNF433,ZNF48,ZNF492,ZNF497,ZNF587,ZNF606,ZNF652,ZNF672,ZNF695,ZNF703,ZNF747,ZNF764,ZNF768,ZNF770,ZNF789,ZNF805,ZNF823,ZNF831,ZSCAN32
coad	118	ABT1,ACTR5,ADNP,AGRN,AKIRIN2,ASCL2,ASF1B,BCL11A,BCOR,C1QBP,CAND1,CASK,CCNH,CDCA7,CDH1,CDK8,CDX2,CIAO1,COPS5,CREB3L1,CREBBP,CTNNB1,E2F2,E2F7,ELF3,ELOC,EP300,ERN2,ESRRA,ETS2,FOXM1,GBX2,GMEB2,GRHL2,GTF2IRD1,HDAC8,HNF4A,HNF4G,HNRNPAB,HOXA3,HSF1,IRF2BP2,JUP,KAT2A,KAT8,KDM5B,KLF5,KLHL31,L3MBTL1,MACC1,MAPK15,MCTS1,MECOM,MED18,MIER1,MLX,MNX1,MRPL12,MXD3,MYBL2,MYC,NELFCD,NPAS2,NR2F2,NR2F6,NUFIP1,OVOL1,PCBD1,PDLIM1,PFN1,PHF20,PLAGL2,POLR1H,POLR3C,POU5F1B,PPARG,PRDX3,PRMT5,PSRC1,RB1,RBBP4,RBL1,RBM39,RFXAP,RNF4,RNF6,RPL6,RPL7,SAP18,SIRT6,SIRT7,SMAD2,SMARCA2,SMARCD2,SREBF1,STAT1,SUPT20H,TAF4,TARBP1,TBX10,TCF19,TCF7,TDG,TMF1,TRIM16,TRIM27,UBE2I,UBE2L3,VDR,VPS25,VPS36,WDR77,ZMYND8,ZNF232,ZNF717,ZNF785,ZSWIM1,ZSWIM3
gbm	118	ABCG1,ACAD8,APP,ATF7IP2,BASP1,BMAL1,BMP7,BNC2,CAMK2A,CDCA7L,CDH1,CEBPA,CHMP1A,CIAO3,CITED1,CREBL2,CRY1,DCAF6,DPF3,E2F6,ECSIT,ELAVL2,ELOB,ESR2,ETS2,FABP4,FOXJ1,FOXM1,GTF2IRD2B,HAT1,HDAC2,HHEX,HNF4G,HOPX,ID4,IGF1,IRF8,JAZF1,KDM1A,KEAP1,KLF11,KLF17,KLF6,LHX1,LMO2,MCM2,MED9,MEF2C,MEOX2,MMP14,NAT14,NCOA7,NEDD8,NELFCD,NR3C2,PAX6,PCGF5,PKIA,POLR2I,POU2F2,PPARG,PTOV1,RB1,RTL3,RUNX2,RUVBL1,RUVBL2,SEC14L2,SFMBT2,SMARCAL1,SMARCD3,SNAI3,SOX2,SOX21,SOX9,SP140,STAT3,STAT6,TAF5,TAF6L,TCEA2,TCEA3,TFAP4,THRA,TP73,TSC22D4,TSHZ3,USP21,WASL,WDR77,XRCC6,YAF2,ZC3HC1,ZDHHC23,ZFP30,ZFYVE21,ZKSCAN5,ZNF177,ZNF20,ZNF212,ZNF253,ZNF286A,ZNF3,ZNF302,ZNF385A,ZNF419,ZNF443,ZNF446,ZNF527,ZNF599,ZNF606,ZNF607,ZNF671,ZNF680,ZNF764,ZNF776,ZNF853,ZSCAN21
hnsc	225	AATF,ACTN1,AGO2,AHCTF1,AKNA,APBB3,APOE,APP,ARL2BP,ASF1B,ATAD2,BATF2,BAZ1A,BCL6,BMP7,BTK,CARD16,CAVIN1,CBX2,CBX8,CCNK,CD28,CD3D,CD4,CD40LG,CD74,CD86,CDH1,CDK12,CDK9,CDKN2A,CENPF,CERS6,CIITA,CREB3L4,CREBBP,CXCL10,DAB2,DLX6,DNMT1,DPF1,E2F1,E2F2,E2F4,E2F7,EHMT1,EIF2AK2,ELK4,ELOC,ENO1,ESRRA,ETV4,ETV7,FASLG,FLI1,FOSL1,FOXE1,FOXK2,FOXM1,FOXP3,FST,GBX2,GCLC,GLI1,GLI2,GMNN,GTF2H4,HAVCR2,HDAC2,HELLS,HELZ2,HMGA1,HMGB2,HOXD11,HSF1,IGF2,IKZF1,IL16,ILF2,ILF3,IRF1,IRF6,IRF7,ITGB2,JUP,KAT2A,KDM1A,KEAP1,KMT5A,LEF1,LGALS9,LHX5,LILRB4,LYL1,MAZ,MCM2,MCM4,MCM5,MCM6,MCM7,MED10,MED12L,MED15,MNAT1,MNDA,MORC2,MORF4L2,MTA1,MTA2,MYBL2,MYC,MYNN,NACC1,NCF1,NEDD8,NELFB,NFE2L2,NLRC3,NLRC5,NLRP3,NMI,NOC2L,NOTCH3,NPAS1,PA2G4,PARP10,PARP14,PARP9,PCGF1,PFN1,PIM2,PIR,PLAGL2,PLEK,PLSCR1,PML,POGK,POU2AF1,PRKCB,PRKDC,PSMB10,PSMB8,PSMB9,PSMC3IP,PSMD9,PSME2,PSRC1,PTTG1,PUF60,PYCARD,PYGO1,PYHIN1,RAI1,RBL1,RCOR2,RELB,RHOH,RIGI,RIOX1,RPS14,RUVBL1,RUVBL2,SALL2,SCYL1,SFSWAP,SLA2,SMARCD2,SMO,SNAPC1,SOX13,SOX2,SP100,SP110,SP140,SPI1,SREBF1,SS18L1,SSRP1,STAT1,SUV39H1,SUV39H2,TAF1,TAF2,TAF4B,TAF5,TBL1X,TBL1XR1,TBX2,TBX21,TCEAL3,TCERG1,TCF19,TCF3,TEAD2,TFEC,TGFB1I1,TGS1,TIMELESS,TLR3,TNFSF8,TONSL,TOP2A,TP63,TP73,TRIM21,TRIM22,TRIM28,TRIM52,TRIP13,UBE2I,UHRF1,XRCC6,YEATS2,YY1,ZBED2,ZC3H18,ZEB2,ZFP64,ZIC5,ZNF114,ZNF148,ZNF385A,ZNF7,ZNF770,ZNF831
kirc	244	ADAM8,AKNA,ALKBH4,APBB1,APOE,AR,ASF1B,BATF,BATF2,BCL11B,BCL3,BCL6,BCL6B,BCL7A,BMP6,BTG1,C1D,CARD16,CBX3,CBX7,CCNA2,CCNC,CD28,CD38,CD4,CD74,CDC6,CDCA7L,CDH13,CDK5RAP3,CDKN2A,CEBPA,CENPF,CERS2,CIITA,CMKLR1,CREB3L4,CREG1,CRY2,CXCL10,DACH2,DEPDC1,DLGAP5,DNMT3B,E2F1,E2F5,E2F7,EDNRB,EFCAB6,EIF2AK2,ELF1,EMX2,ENG,ENO1,EPAS1,ESR1,ESRRG,ETV7,FABP4,FLI1,FOXJ3,FOXM1,FOXQ1,GAS7,GRHL3,HABP4,HAMP,HCLS1,HDAC10,HDAC11,HDGF,HEXIM2,HEY1,HLF,HMOX1,HNF1B,HNF4A,HOXA4,HOXC10,ICAM1,IKBKG,IKZF1,IKZF3,ING5,IPPK,IRF1,IRF3,IRF9,KANK2,KAT5,KDM4B,KHDRBS3,KLF13,KLF15,KLF9,KLHL6,LDB2,LGALS9,LILRB4,LPXN,LRPPRC,MAFF,MAML3,MAPK8IP1,MAPRE3,MECOM,MED9,MEIS3,MLX,MMP14,MNAT1,MORF4L2,MSC,MXD3,MYBL2,MYC,NCF1,NFAM1,NFE2L3,NFIA,NFKB2,NLRC4,NLRC5,NLRP3,NME2,NOTCH3,NOTCH4,NR0B2,NR1H3,NR1H4,NRIP2,NTRK3,OGT,ORC1,PABPC1L,PARP14,PARP15,PARP9,PCGF5,PDE2A,PDPK1,PEG3,PFDN5,PFKM,PHB1,PHB2,PHF11,PIM2,PINK1,PLAGL1,PLK1,PLPP3,POU2AF1,PPARG,PPM1A,PRDM1,PRDM16,PRKCB,PRKCH,PRKCZ,PRMT5,PSMB10,PSMB8,PSMB9,PSME2,PTAFR,PTTG1,PYCARD,RARA,RBCK1,RBPMS,RCOR1,RERE,RHOG,RNF141,RORC,RPS6KA1,RPS6KA4,RUNX1T1,S100A1,S100A8,S1PR1,SALL1,SETD3,SIRT5,SIRT7,SMAD3,SMO,SND1,SOX17,SOX6,STAT1,STAT2,STAT4,STK3,TCERG1,TEAD2,TFEC,TGFB2,TGFBR3,THAP1,THRA,TIGD2,TIGD4,TIGD6,TLR2,TLR6,TMEM100,TMIGD3,TMSB4X,TNFRSF4,TRIM21,TRIM22,TRIP13,TSG101,TSHZ1,TSSK4,UBE2I,WASL,ZBBX,ZBTB47,ZCRB1,ZDHHC4,ZDHHC9,ZHX2,ZHX3,ZMYND10,ZMYND15,ZNF214,ZNF219,ZNF276,ZNF3,ZNF366,ZNF423,ZNF503,ZNF581,ZNF619,ZNF622,ZNF696,ZNF768,ZNF770,ZNF831,ZNF852,ZNF91
laml	108	ADNP,AFF1,AGO2,ARID2,ASXL1,ATF2,BAZ1B,BAZ2B,BBX,BCLAF1,CAND1,CBX5,CCNT1,CEBPG,CHAF1B,CHD1,CHD4,CIITA,CNOT8,CREBBP,CUX2,DNAJB6,E2F2,EHMT1,EPC2,ETV6,FOXP1,FRYL,GFI1,GLI1,HDAC9,HIF1A,HIF1AN,HOXA7,IFI16,IKZF1,INHBA,IRX3,JUP,KAT6A,KDM1A,LIN54,MED12L,MED13L,MEF2A,MIDEAS,MYSM1,PCBD2,PKNOX1,POGZ,PRDM15,PRKDC,PRMT6,RC3H2,REST,RREB1,RUNX2,SCAND2P,SEC14L2,SERTAD2,SFMBT2,SLC30A9,SMARCA2,STAT5A,STRN3,SUPT7L,TAF4B,TRIM22,YEATS2,ZBED1,ZBED2,ZC3H12B,ZC3H12C,ZC3HAV1L,ZEB2,ZFC3H1,ZFP28,ZKSCAN8,ZMIZ1,ZNF107,ZNF154,ZNF18,ZNF20,ZNF217,ZNF280C,ZNF285,ZNF33B,ZNF398,ZNF44,ZNF445,ZNF496,ZNF514,ZNF551,ZNF568,ZNF572,ZNF594,ZNF671,ZNF677,ZNF69,ZNF772,ZNF8,ZNF804A,ZNF83,ZNF91,ZRANB3,ZSCAN18,ZSCAN21,ZXDB
lgg	212	APBB1,APOE,AR,ASF1A,ASF1B,BATF,BCL11B,BCL2L12,BCL3,BCL6B,BMAL2,BMP7,BOLA1,BTRC,CARD16,CAV1,CAVIN1,CCNA2,CCNT2,CD28,CD38,CD4,CD74,CDC6,CDCA7,CDCA7L,CDH13,CEBPA,CEBPB,CENPF,CHD7,CIITA,COL1A1,CRY2,CTCF,CXCL10,CYP1B1,DAB2,DCN,DEPDC1,DLGAP5,DLL4,DNAJB6,DTX3L,E2F1,E2F7,EDNRB,ELF1,ELF3,EMX2,ENG,EP300,ETV7,FABP4,FBXL15,FLI1,FOXM1,FOXS1,GATAD1,GLI4,GRHL3,GTF2H4,HAMP,HAVCR2,HCLS1,HDAC10,HDAC11,HEY1,HIRA,HLF,HMOX1,HNF4G,HSF4,HTATIP2,ICAM1,IFI16,IKZF1,IKZF3,ING3,ING5,IPPK,IRF1,IRF3,KAT2A,KAT5,KDM1A,KLF15,KLF9,KLHL6,KMT5C,L3MBTL1,LEF1,LGALS9,LHX4,LHX6,LILRB4,LMO2,LUM,MAFF,MAML3,MAPRE3,MECOM,MEIS1,MEIS3,MEOX2,MICAL2,MSC,MTERF2,MYBL2,NCF1,NFAM1,NFKB2,NFKBIL1,NKX2-5,NLRC4,NLRC5,NLRP3,NMI,NOTCH4,NRIP2,NUFIP1,OGT,ORC1,OTX1,PARP10,PARP14,PARP15,PARP9,PAX5,PCBP3,PDE2A,PDPK1,PFKM,PHB1,PHF11,PIDD1,PINK1,PITX1,PLK1,PLK3,PLSCR1,PRKCB,PRKCH,PRKCZ,PRMT5,PSMB8,PSMB9,PSME1,PSME2,PTAFR,PTTG1,PYCARD,RHOG,RNF141,RPS6KA1,RPS6KA4,S100A1,S100A8,S100A9,S1PR1,SAP18,SCML2,SERPINE1,SETD5,SFRP2,SIRT5,SMO,SOX2,SOX6,SOX9,SP110,SP140L,SSRP1,STAT1,STAT2,STK3,TCERG1,TERF2,TFEC,TGFB2,TLR2,TLR3,TLR6,TMEM100,TMIGD3,TMSB4X,TNFRSF4,TP53,TRIM21,TRIM22,TRIM28,TRIM52,TRIP13,TSG101,TSSK4,UBE2V1,UHRF1,VGLL3,ZBTB12,ZBTB47,ZEB2,ZGPAT,ZNF133,ZNF169,ZNF276,ZNF337,ZNF354B,ZNF408,ZNF470,ZNF536,ZNF770,ZNF852
lihc	147	AATF,AHCTF1,AKNA,APBB3,ARL2BP,AURKB,BATF2,BIRC5,BMI1,BTAF1,BTK,CARD16,CD28,CD3D,CD4,CD40LG,CD74,CD86,CDC45,CDH1,CDKN2A,CERS2,CHAF1A,CIITA,COPS5,CREB3L4,CRY2,CXCL10,DDX39B,DEDD,DLGAP5,DMTF1,E2F1,E2F8,E4F1,ECSIT,EIF2AK2,ELL2,ENY2,ESR1,ETV7,FASLG,FLI1,FOXD2,GLMP,HAVCR2,HDAC5,HDGF,HEXIM2,HLF,HNF1A,HSF4,IKZF1,IL16,IRF1,ITGB2,JUP,LGALS9,LILRB4,LYL1,MCM6,MESP2,MNDA,MRPL12,MRPL28,MTDH,MXI1,NCF1,NLRC3,NLRC5,NLRP3,NR2C2,OSM,OVOL1,PARP9,PIM2,PIR,PLEK,PLSCR1,PMF1,POU2AF1,PRDX3,PRKCB,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTTG1,PUF60,PYCARD,PYHIN1,RAI1,RCAN1,RELB,RHOG,RHOH,RIGI,RING1,RPS14,RRM2,S100A8,S100A9,SETD2,SIRT7,SLA2,SMARCC2,SOX13,SP100,SP140,SPI1,SS18L1,STAT1,SUV39H1,TADA1,TBX21,TCEA2,TCEA3,TCF7L1,TFEC,TIGD6,TIMELESS,TMIGD3,TNFSF8,TP73,TRIM21,TRIM22,TRIM52,USF1,VPS25,WASL,XBP1,ZBED2,ZC3HC1,ZEB2,ZFAND2B,ZNF169,ZNF318,ZNF337,ZNF354B,ZNF423,ZNF517,ZNF770,ZNF789,ZNF805,ZNF831,ZSCAN32
luad	233	AATF,ACAD8,ADNP,AGO2,AGRN,ARID5A,ASF1B,ATAD2,ATF2,ATP8B1,BARX1,BATF3,BAZ1A,BAZ1B,BCL3,BHLHA15,BLZF1,BMI1,BMP3,BRD8,BZW1,CAND1,CASK,CBX3,CBX4,CD86,CDC5L,CDH1,CDK12,CDK8,CENPF,CENPU,CERS2,CHAF1B,CHD7,CIAO1,CIITA,CNOT8,CREB3L4,CRYM,CTNNB1,DCAF6,DDX1,DEDD,DLX3,DLX6,DNMT3A,DNMT3B,E2F1,E2F2,E2F3,E2F5,E2F8,EAF2,EED,EHF,ELOC,ENO1,ERCC3,ESR1,ETV4,FOXA1,FUBP1,GCLC,GMCL1,GRHL1,GRHL2,GRHL3,GTF2H4,HCLS1,HDAC1,HDAC2,HDGF,HELLS,HLTF,HMGB2,HNF1B,HOPX,ICAM1,IFI16,IFNG,IKZF1,IKZF2,IL10,IL16,ILF2,IRF1,IRF2BP2,IRF4,IRF8,IRX3,IRX5,JADE1,JUP,KDM1A,KDM5B,LMO3,LRPPRC,MACC1,MAFB,MAK,MCM2,MCM7,MED10,MED20,MED8,MEF2D,MESP1,MIER1,MNDA,MNX1,MORF4L2,MUC1,MYBL1,MYBL2,NAA15,NFE2,NFYC,NKX2-1,NONO,NOTCH2,NR1I3,NR4A2,OTX1,OVOL1,PBXIP1,PGR,PMF1,POGK,POLR3C,POU2AF1,PRKDC,PRMT5,PSMC3IP,PSRC1,PTTG1,PUF60,RBBP4,RBBP7,RBBP8,RCOR3,RELA,RELB,RNF10,RNF2,RORC,RPL7L1,RREB1,SETDB1,SIRT3,SIRT4,SIX1,SIX4,SMAD3,SMARCC1,SMARCD3,SMARCE1,SNW1,SOX4,SP100,SP3,SPDEF,SPI1,SPIB,SRCAP,STAT1,STAT2,STAT4,STAT5A,SUB1,SUMO1,SUV39H2,SUZ12,TADA1,TAF2,TAF4,TAF5L,TAF8,TBL1X,TBX21,TCEA3,TCF19,TERF1,TESC,TFAM,TFAP2C,TFB2M,TFEC,THRA,TONSL,TOP2A,TP53,TRAFD1,TRIM27,TRIM28,TRIP13,TRRAP,TSG101,UBE2I,USP21,VAV1,VDR,VPS25,VPS72,WNT5A,XBP1,YBX2,YY1,ZBTB10,ZBTB18,ZBTB35,ZBTB41,ZBTB7B,ZC3H15,ZDHHC16,ZDHHC21,ZDHHC4,ZDHHC9,ZFAND6,ZNF12,ZNF138,ZNF207,ZNF217,ZNF267,ZNF28,ZNF280B,ZNF552,ZNF622,ZNF687,ZNF710,ZNF778,ZSCAN16,ZSWIM4
