cohort	subtype	n	mrs
blca	1	78	ADNP,TOP2A,WHSC1,E2F1,TAF4,OTX1,DNMT3B,ZSCAN16,ZNF254,ZNF92,ZNF385A,ZNF695,TOP2B,TCF19,ZNF687,FOXA1,MECOM,PTTG1,SMAD3,E2F8,RFX7,IRF3,ZNF524,ZNF436,ZNF296,ZNF587,ZNF440,PPP1R13L,MTF2,ZKSCAN1,ZNF519,VPS72,ID1,ZNF664,THOC1,HES1,ZNF140,SIRT7,ZNF507,MTA1,ZNF513,ZNF107,JUP,ZNF593,ZFPM1,HOXB7,ZNF765,ZNF28,HDGF,HLTF,FOXM1,CREB3L4,CBX2,HSF1,AGRN,ZNF708,ZNF444,ZNF626,ZNF652,TP63,ZMYM1,NR2F6,TRIM29,GRHL1,ZC3H3,PBX4,ILF2,MRPL12,ZNF681,IKZF2,TNNI2,ZFHX3,YY1,ASCC2,ZNF493,NELFA,GTF2I,MYBL2
blca	2	49	ADNP,TAF4,DNMT3B,ZSCAN16,ZNF254,ZNF385A,TOP2B,FOXA1,MECOM,ZNF846,SMAD3,RFX7,IRF3,ZNF524,ZNF436,ZNF296,ZNF587,PRDM2,ZNF440,PPP1R13L,MTF2,ZKSCAN1,ID1,HES1,ZNF140,SIRT7,ZNF507,ATOH8,MTA1,ZNF513,ZNF107,JUP,ZNF593,ZFPM1,HOXB7,ZNF28,RC3H1,CREB3L4,HSF1,AGRN,ZNF708,ZNF444,ZNF626,ZNF652,TP63,NR2F6,TRIM29,GRHL1,ZC3H3
blca	3	45	TOP2A,WHSC1,E2F1,OTX1,DNMT3B,ZNF385A,ZNF695,TCF19,PTTG1,E2F8,IRF3,PPP1R13L,MTF2,THOC1,SIRT7,JUP,ZNF593,ZNF765,HDGF,PRKDC,ZNF622,FOXM1,ZNF131,CBX2,HSF1,AGRN,TP63,ZMYM1,TRIM29,GRHL1,ZC3H3,ILF2,MRPL12,TNNI2,YY1,NELFA,MYBL2,PA2G4,DRAP1,GRHL2,ZNF706,KAT2A,CDH1,E2F3,ZNF639
blca	4	60	TOP2A,E2F1,TAF4,DNMT3B,ZSCAN16,ZNF254,ZNF92,ZNF385A,ZNF695,TOP2B,FOXA1,MECOM,PTTG1,ZNF846,SMAD3,E2F8,IRF3,ZNF524,ZNF436,ZNF296,ZNF587,ZNF440,PPP1R13L,MTF2,VPS72,ID1,THOC1,HES1,ZNF140,SIRT7,ATOH8,MTA1,ZNF513,ZNF107,JUP,ZNF593,ZFPM1,HOXB7,ZNF765,HDGF,FOXM1,CREB3L4,HSF1,AGRN,ZNF444,ZNF626,ZNF652,TP63,NR2F6,TRIM29,GRHL1,ZC3H3,PBX4,ILF2,MRPL12,ZNF681,IKZF2,TNNI2,ZFHX3,ASCC2
blca	5	72	TOP2A,E2F1,ZNF695,TCF19,PTTG1,IRF3,ZNF524,PPP1R13L,SIRT7,JUP,ZNF593,HDGF,ZNF622,FOXM1,HSF1,AGRN,TP63,TRIM29,ZC3H3,ILF2,MRPL12,TNNI2,MYBL2,PA2G4,DRAP1,SCAND1,ATAD2,WDR77,ASF1B,NOC2L,RUVBL2,ZNRD1,NME2,HMG20B,BATF,ZNHIT1,CBX3,TSC22D4,CENPF,MIER2,TFDP1,NKRF,SIRT6,OVOL1,TRIP13,MTA2,CENPK,ZBTB8OS,PCGF1,NACC1,ZDHHC24,TARBP2,POLR2I,RFXANK,EDF1,BATF3,ZNF750,MRPL28,RBL1,SSBP4,THAP7,TONSL,UBE2I,RARG,MCM7,PIM1,TAF6L,BUD31,ZDHHC16,MXD3,PML,HSBP1
blca	6	37	E2F1,ZSCAN16,ZNF385A,PTTG1,IRF3,ZNF524,ZNF296,ZNF440,PPP1R13L,ID1,HES1,SIRT7,MTA1,ZNF513,JUP,ZNF593,ZFPM1,HOXB7,CREB3L4,HSF1,AGRN,ZNF423,ZNF444,NR2F6,TRIM29,ZC3H3,PBX4,MRPL12,ZNF681,IKZF2,TNNI2,ASCC2,NELFA,MYBL2,PA2G4,DRAP1,ZNF706
brca	1	34	ADNP,ESR1,SIX4,FOXA1,GRHL2,GABPB1,PRKDC,SMAD3,ZNF217,BAZ1B,BPTF,YEATS4,KAT7,TFAM,ZFHX3,MYB,YY1,IRX5,RARA,CREB3L4,GATA3,ATF6,ZNF24,CERS6,TAF7,BLZF1,ZC3H15,ZMYND8,TRERF1,SIX1,ZBTB9,THAP1,RNF141,ZNF146
brca	2	23	HDAC2,FOXM1,ADNP,RBL1,TOP2A,UHRF1,RNF4,ASH2L,ESR1,TAF4,SIX4,SOX4,E2F8,FOXA1,TAF5,ATAD2,MYBL2,GRHL2,GABPB1,PRKDC,WHSC1,SMAD3,ZDHHC23
brca	3	68	ESR1,FOXA1,SMAD3,MYB,IRX5,RARA,CREB3L4,GATA3,TRERF1,RNF141,MKL2,ZMYND10,XBP1,SUPT4H1,RXRA,PGR,NFIA,HOXC4,PATZ1,ATP8B1,BRD8,ZNF239,CERS2,LZTFL1,TBX3,VEZF1,TAF9,ZNF764,CSRNP2,LMX1B,AFF3,HOMEZ,OVOL2,SOX12,ZNF48,SP1,USF1,MIER3,ZNF587,MAZ,AR,ZNF410,ZSCAN32,OVOL1,ZCCHC10,ZNF433,ZNF396,MUC1,ZNF703,SALL1,ZNF768,ZNF747,CREB3L1,GATAD1,ZNF823,ZNF174,GPBP1,ZNF20,ZNF652,ZNF497,ZNF672,EYA4,NR2F6,ZGPAT,CTBP1,PRDX3,SOX13,ZNF606
brca	4	39	TP53,HDAC2,FOXM1,ADNP,RBL1,TOP2A,UHRF1,CDKN2A,E2F3,TAF4,CEBPG,DNMT3B,TFDP1,SOX4,ILF2,E2F8,MYC,ZNF695,TAF5,ATAD2,KDM1A,OTX1,ZNF492,MYBL2,GRHL2,GABPB1,PRKDC,HDGF,TCF19,ENO1,APP,ZDHHC23,NKRF,HSF2,BAZ1B,TRIM27,SCML2,ELK1,TARDBP
