cohort	regulators	edges	plus	minus	zero
blca	6054	489101	290876	198225	0
brca	6054	331919	210537	121382	0
cesc	6056	583961	334966	248995	0
coad	6056	413789	257868	155921	0
esca	5951	529286	311123	218163	0
gbm	6056	563850	320122	243728	0
hnsc	6055	423104	265405	157699	0
kirc	6054	350478	222082	128396	0
kirp	6055	452653	268432	184221	0
laml	6007	531535	311810	219725	0
lihc	6056	469922	277951	191971	0
luad	6055	399513	248774	150739	0
lusc	6054	455032	276797	178235	0
net	6129	666241	395380	270861	0
ov	6007	647358	361674	285684	0
paad	6056	520756	303680	217076	0
pcpg	6056	603617	333750	269867	0
prad	6053	330922	213656	117266	0
read	6056	557911	318651	239260	0
sarc	6112	526591	302518	224073	0
stad	6056	561858	356113	205745	0
tgct	6056	432621	248286	184335	0
thca	6053	317582	199105	118477	0
thym	6056	387923	233317	154606	0
ucec	6055	469845	304009	165836	0
