10002	117531	-
10002	345222	+
10002	3796	-
10002	11223	+
10002	58497	-
10002	284325	+
10002	10613	-
10002	146212	+
10002	130749	+
10002	55681	-
10002	642658	+
10002	5230	-
10002	7873	-
10002	143496	+
10002	219968	+
10002	767606	+
10002	57716	+
10002	55832	-
10002	319085	+
10002	153743	-
10002	29115	+
10002	92162	+
10002	9015	-
10002	57167	-
10002	250	+
10002	7030	+
10002	80835	+
10002	9188	-
10002	119385	+
10002	29941	+
10002	158801	+
10002	113419	+
10002	84444	+
10002	53373	+
10002	100126781	-
10002	8512	+
10002	91664	-
10002	56301	+
10002	337969	-
10002	389705	-
10002	692090	-
10002	389158	-
10002	2797	+
10002	51104	-
10002	22928	-
10002	3660	-
10002	9276	-
10002	5528	-
10002	142940	-
10002	63922	+
10002	91137	-
10002	6863	+
10002	10143	-
10002	116093	-
10002	2273	+
10002	54346	-
10002	3563	+
10002	200539	+
10002	9399	-
10002	619505	+
10002	7026	+
10002	283159	-
10002	57512	-
10002	3198	-
10002	51524	+
10009	10735	+
10009	84295	+
10009	8450	+
10009	10495	+
10009	8776	+
10009	55609	+
10009	51132	+
10009	203260	-
10009	90293	+
10009	84572	-
10009	4952	+
10009	79596	+
10009	6494	-
10009	80067	+
10009	2332	+
10009	81858	-
10009	7559	+
10009	79832	+
10009	64856	-
10009	4361	+
10009	23190	+
10009	4832	-
10009	1397	-
10009	10857	+
10009	55217	+
10009	203547	+
10009	54822	+
10009	159	+
10009	55681	+
10009	7013	+
10009	79598	+
10009	375484	+
10009	55109	+
10009	7342	+
10009	116064	+
10009	55660	+
10009	286410	+
10009	129303	-
10009	7337	+
10009	160418	+
10009	7913	+
10009	3338	-
10009	112609	+
10009	81876	-
10009	29109	-
10009	2286	-
10009	64864	+
10009	4043	-
10009	9529	+
10009	1396	-
10009	54849	-
10009	9975	+
10009	84734	-
10009	221656	+
10009	7169	-
10009	6683	+
10009	1182	+
10009	1512	-
10009	84135	+
10009	2956	+
10009	7975	-
10009	29843	+
10009	135293	+
10009	9522	+
10009	7942	-
10009	79001	-
10009	26750	+
10009	360023	+
10009	2582	-
10009	92104	+
10009	10565	+
10009	83547	-
10009	160857	+
10009	23133	+
10009	4086	+
10009	7791	-
10009	79983	+
10009	83989	+
10009	51160	-
10009	23526	-
10009	64710	+
10009	57192	-
10009	1474	-
10009	201627	+
10009	345651	-
10009	29950	-
10009	64924	+
10009	178	+
10009	124044	-
10009	65990	-
10009	54503	+
10009	11260	+
10009	254295	-
10009	55326	+
10009	401474	+
10009	23462	+
10009	10714	+
10009	10778	+
10009	9791	+
10009	168850	+
10009	51192	-
10009	60675	-
10009	4131	+
10009	2057	-
10009	22954	+
10009	283487	-
10009	55174	+
10009	25941	+
10009	123811	+
10009	91663	-
10009	283229	-
100101467	9924	+
100101467	7556	+
100101467	379013	+
100101467	51555	+
100101467	84307	+
100101467	25957	+
100101467	124989	+
100101467	7569	+
100101467	84460	+
100101467	80854	-
100101467	9869	+
100101467	147687	+
100101467	206412	+
100101467	8804	-
100101467	84295	+
100101467	767603	+
100101467	280	+
100101467	595135	+
100101467	29959	-
100101467	60686	+
100101467	11014	-
100101467	54806	+
100101467	285025	+
100101467	27327	+
100101467	140733	+
100101467	51277	+
100101467	5629	+
100101467	116835	+
100101467	221078	+
100101467	51409	+
100101467	643847	-
100101467	253959	+
100101467	91607	+
100101467	8999	+
100101467	112770	-
100101467	54849	+
100101467	8273	-
100101467	1842	-
100101467	93474	+
100101467	4547	+
100101467	65056	+
100101467	80700	-
100101467	1317	-
100101467	202243	+
100101467	136259	+
100101467	221527	+
100101467	6205	-
100101467	9375	-
100101467	283446	+
100125288	283870	+
100125288	60677	+
100125288	374887	+
100125288	54540	+
100125288	29990	+
100125288	3700	+
100125288	146705	+
100125288	8620	+
100125288	6339	+
100125288	144132	+
100125288	81576	+
100125288	1018	+
100125288	51380	+
100125288	10787	-
100125288	100126793	+
100125288	84809	+
100125288	9196	+
100125288	80152	+
100125288	5959	+
100125288	54760	+
100125288	8898	-
100125288	147011	+
100125288	6818	+
100125288	338657	+
100125288	126549	+
100125288	728609	+
100125288	7442	+
100125288	825	+
100125288	64121	-
100125288	4719	-
100125288	641977	+
100125288	9814	+
100125288	782	+
100125288	55367	+
100125288	55737	-
100125288	8976	-
100125288	90592	+
100125288	51233	+
100125288	2784	+
100125288	55751	-
100125288	100170229	+
100125288	345222	+
100125288	5530	-
100125288	11132	+
100125288	196264	-
100125288	8858	+
100125288	284618	+
100125288	112812	+
100125288	201562	-
100125288	3263	+
100125288	80119	+
100125288	11101	-
100125288	56850	+
100125288	5387	+
100125288	1760	+
100125288	60672	+
100125288	10482	+
100125288	79844	+
100125288	84680	+
100125288	8448	+
100125288	102	-
100125288	55970	-
100125288	219537	+
100125288	57038	-
100125288	5346	+
100125288	392509	+
100125288	259294	+
100125288	158160	+
100125288	3750	+
100125288	349152	+
100125288	6430	+
100125288	55337	+
100125288	4026	-
100125288	5460	+
100125288	11136	+
100125288	79841	+
100125288	65012	+
100125288	25963	-
100125288	259292	+
100125288	4607	+
100125288	94101	+
100125288	692208	+
100125288	1362	-
100125288	147685	+
100125288	153562	-
100125288	245	+
100125288	164118	+
100125288	407975	+
100125288	374403	+
100125288	23300	-
100125288	388799	+
100125288	10716	-
100125288	246778	+
100125288	252955	+
100125288	56301	+
100125288	285847	+
100125288	100134868	-
100125288	94025	+
100125288	10673	-
100125288	6416	-
100125288	83893	+
100125288	337973	+
100125288	163590	-
100125288	7535	+
100125288	11057	-
100125288	401565	+
100125288	253314	+
100125288	3558	+
100125288	81061	+
100125288	83939	-
100125288	128602	-
100125288	93273	-
100125288	11186	+
100125288	119467	+
100125288	59307	+
100125288	152579	-
100125288	403277	+
100125288	254187	+
100125288	5609	+
100125288	4340	+
100129842	199777	+
100129842	7594	+
100129842	91120	+
100129842	284443	+
100129842	56242	+
100129842	7644	+
100129842	90594	+
100129842	440515	+
100129842	55906	+
100129842	79963	+
100129842	2583	-
100129842	79788	+
100129842	2109	-
100129842	692157	-
100129842	84940	-
100129842	548645	-
100129842	170082	+
100129842	51449	+
100129842	147948	+
100129842	256933	-
100129842	1212	-
100129842	344148	+
100130086	55561	+
100130086	4204	+
100130086	286075	+
100130086	1965	-
100130086	114819	+
100130086	6782	-
100130086	11078	+
100130086	9532	-
100130086	10797	-
100130086	114790	+
100130086	9696	+
100130086	5238	-
100130086	11112	-
100130086	494143	-
100130086	1147	-
100130086	57157	-
100130086	51128	-
100130086	9559	-
100130086	8886	-
100130086	11083	+
100130086	7494	-
100130086	83448	-
100130086	51582	-
100130086	51108	-
100130086	55798	-
100130086	392862	+
100130086	57658	+
100130086	3939	-
100130086	58477	-
100130086	84294	-
100130086	10724	+
100130086	29883	-
100130086	10380	-
100130086	4711	-
100130086	10007	-
100130086	8785	+
100130086	3839	-
100130086	54949	-
100130086	100130987	+
100130086	23483	-
100130086	27230	-
100130086	606500	+
100130086	51144	-
100130086	23096	+
100130086	51454	-
100130086	26263	-
100130086	9149	+
100130086	54968	-
100130086	22992	+
100130086	56098	+
100130086	8195	-
100130086	100129534	+
100130086	51004	-
100130086	5087	+
100130086	84307	+
100130086	120103	-
100130086	115110	+
100130086	150776	+
100130086	55164	-
100130086	9553	-
100130086	4798	+
100130086	5714	-
100130086	54886	-
100130086	165257	+
100130086	23592	-
100130086	6239	+
100130086	55347	-
100130086	55234	-
100130086	7520	-
100130086	7324	-
100130086	56180	-
100130086	84928	-
100130086	816	+
100130086	3185	-
100130086	8288	+
100130086	65080	-
100130086	80072	+
100130086	64927	+
100130086	821	-
100130086	10444	+
100130086	84328	-
100130086	23644	+
100130086	3299	+
100130086	5359	-
100130086	79830	-
100130086	94030	+
100130086	143570	+
100130086	11315	-
100130086	90199	+
100130086	100158262	+
100130086	257068	-
100130086	51622	-
100130086	200081	+
100130086	613227	-
100131827	163087	+
100131827	10567	+
100131827	22863	+
100131827	11010	+
100131827	10242	+
100131827	7533	+
100131827	79836	+
100131827	219875	-
100131827	112937	+
100131827	339804	+
100131827	9754	+
100131827	374900	+
100131827	5394	+
100131827	79660	+
100131827	56109	+
100131827	7638	+
100131827	55728	+
100131827	25822	-
100131827	7975	+
100131827	147660	+
100131827	10422	-
100131827	54876	+
100271849	57699	+
100271849	91319	+
100271849	83416	+
100271849	973	+
100271849	930	+
100271849	5368	+
100271849	8755	+
100271849	80307	+
100271849	29802	+
100271849	9834	+
100271849	11040	+
100271849	7253	+
100271849	3662	+
100271849	126306	+
100271849	54106	+
100271849	939	+
100271849	5582	+
100271849	79368	+
100271849	148713	+
100271849	93492	+
100271849	150365	+
100271849	115650	+
100271849	8419	+
100271849	5530	-
100271849	9143	+
100271849	1398	-
100271849	253980	+
100271849	348738	+
100271849	91369	-
100271849	219432	+
100271849	6534	+
100271849	389197	+
100271849	2286	+
100271849	54532	-
100271849	54827	+
100271849	7762	+
100271849	63910	+
100271849	79882	-
100271849	156	+
100271849	5662	+
100271849	260436	+
100271849	83881	+
100271849	1955	-
100271849	339451	+
100271849	6795	+
100271849	163859	-
100271849	149041	-
100271849	84064	-
100271849	55664	-
100271849	55738	+
100271849	140836	-
100271849	3007	+
100271849	5062	-
100271849	646799	+
100271849	642658	+
100271849	387882	-
100271849	440695	-
100271849	9706	-
100271849	388468	-
100271849	343169	+
100271849	56961	+
100271849	399968	+
100271849	26164	+
100271849	4128	-
100271849	653427	+
100271849	374393	+
100271849	132946	+
100271849	22894	-
100271849	284805	+
100271849	6570	+
100271849	140609	-
100271849	202865	+
100271849	2281	-
100271849	55830	+
100271849	64792	-
100271849	2077	+
100271849	55614	-
100271849	253959	-
100271849	5630	-
100271849	22866	-
100271849	57531	-
100271849	54991	+
100271849	100033448	-
100506164	100113382	-
100506164	337878	-
100506164	9441	+
100506164	15	+
100506164	390148	+
100506164	5309	+
100506164	79145	-
100506164	284383	+
100506164	283927	-
100506164	84664	-
100506164	84068	-
100506164	219429	+
100506164	64184	+
100506164	54476	+
100506164	26333	-
100506164	7350	-
100506164	257240	+
100506164	140564	-
100506164	8799	+
100506164	552891	+
100506164	245934	+
100506164	126205	-
100506164	94161	+
100506164	285692	+
100506164	3447	-
100506164	57150	-
100506164	391051	+
100506164	767598	+
100506164	343930	+
100506164	280658	-
100506164	55999	+
100506164	84639	-
100506164	254950	+
100506164	147945	+
100506164	173	-
100506164	677842	+
100506164	1582	-
100506164	146512	+
100506164	138046	-
100506164	337972	-
100506164	163059	-
100506164	643923	-
100506164	5054	-
100506164	5859	-
100506164	8513	+
100506164	80831	+
100506164	352909	-
100506164	646480	-
100506164	4159	+
100506164	133491	-
100506164	150165	+
100506164	6346	-
100506164	9342	+
100506164	861	+
100506164	283491	-
100506164	3484	-
100506164	85417	+
100506164	392391	+
100506164	80176	-
100506164	6208	-
100506164	56906	-
100506164	3972	-
100506164	6658	+
100506164	102724473	+
100506164	100033414	-
100506164	10667	-
100506164	90321	-
100506164	25900	+
10062	10068	+
10062	22797	+
10062	60386	+
10062	348	+
10062	57583	-
10062	79713	+
10062	55647	+
10062	83937	+
10062	51105	-
10062	5699	+
10062	6355	+
10062	55727	-
10062	3714	-
10062	4216	-
10062	9748	-
10062	11344	+
10062	2734	-
10062	54764	-
10062	90416	+
10062	9372	-
10062	342	+
10062	347454	+
10062	5774	-
10062	8455	-
10062	122970	+
10062	375616	-
10062	25953	+
10062	23054	-
10062	2355	-
10062	166647	-
10062	8492	-
10062	10661	+
10062	4496	+
10062	79175	-
10062	653786	+
10062	346	+
10062	916	+
10062	100272216	+
10062	4212	-
10062	23186	-
10062	6086	+
10062	2833	+
10062	66036	-
10062	256586	+
10062	246329	+
10062	5133	+
10062	22800	-
10062	79930	+
10062	6705	-
10062	157378	-
10062	55729	-
10062	128876	-
10062	83595	-
10062	2737	-
10062	94234	-
10062	116983	-
10062	9119	-
10113	26608	+
10113	112950	+
10113	348180	+
10113	5831	+
10113	52	+
10113	23499	-
10113	10328	+
10113	119559	+
10113	54512	+
10113	3608	+
10113	92002	+
10113	4299	-
10113	6396	+
10113	292	+
10113	5531	+
10113	1019	+
10113	84162	-
10113	79760	+
10113	10430	+
10113	51253	+
10113	10459	+
10113	6895	+
10113	1841	+
10113	10926	+
10113	5686	+
10113	65003	+
10113	4968	+
10113	9093	+
10113	644128	-
10113	57819	+
10113	5253	-
10113	5693	+
10113	10212	+
10113	5437	+
10113	51218	+
10113	8703	+
10113	5373	+
10113	27429	+
10113	64960	+
10113	578	+
10113	79033	+
10113	9533	+
10113	51545	+
10113	9775	+
10113	192111	+
10113	790955	+
10113	26519	+
10113	112970	+
10113	11076	-
10113	22928	+
10113	51728	+
10113	6642	-
10113	8836	+
10113	26272	+
10113	55904	-
10113	283254	+
10113	116238	+
10113	158358	-
10113	348654	+
10113	5134	+
10113	78992	+
10113	58478	+
10113	5364	-
10113	79659	-
10113	6199	+
10113	7716	-
10113	85301	-
10113	10683	+
10113	30834	+
10113	160287	-
10113	11060	-
10113	64981	+
10113	80306	+
10113	388955	+
10113	23371	-
10113	28977	+
10113	9467	-
10113	10528	+
10113	60495	-
10113	22948	+
10113	65005	+
10113	5499	+
10113	91408	+
10113	10529	-
10113	84153	+
10113	124411	-
10113	7083	+
10113	5782	-
10113	220134	+
10113	79696	-
10113	6185	+
10113	6731	+
10113	55288	+
10113	6652	+
10113	6880	+
10113	219870	-
10113	4247	+
10113	51650	+
10113	2189	+
10113	27095	+
10113	64838	+
10113	6883	+
10113	506	+
10113	4528	+
10113	5689	+
10113	80039	-
10113	51026	+
10113	92935	+
10113	79017	+
10113	79892	+
10113	152006	-
10113	114879	-
10113	79833	+
10113	10055	+
10113	9333	+
10113	55276	+
10113	10204	+
10113	2961	+
10113	284119	-
10113	4851	-
10113	1551	-
10113	288	-
10113	51657	+
10113	10584	-
10113	56851	+
10113	10269	+
10113	5241	-
10113	8360	+
10113	80017	-
10113	3744	-
10113	1606	+
10113	10622	+
10113	663	-
10113	10001	+
10113	79608	-
10113	129025	+
10113	149371	-
10127	8312	+
10127	57407	+
10127	80178	+
10127	55739	+
10127	9529	+
10127	153396	+
10127	63922	+
10127	645811	+
10127	197342	+
10127	29855	+
10127	6820	+
10127	10466	-
10127	79041	-
10127	6046	+
10127	441518	+
10127	5340	+
10127	79627	-
10127	1539	-
10127	23361	+
10127	692203	+
10127	3175	+
10127	10107	-
10127	2857	-
10127	4131	+
10127	91523	-
10127	6720	+
10127	490	+
10127	4043	-
10127	152519	+
10127	353143	-
10127	93034	+
10127	399665	+
10127	157739	+
10127	23261	+
10127	144100	+
10127	150094	-
10127	3448	+
10127	5078	-
10127	9990	+
10153	26156	+
10153	3313	+
10153	79075	+
10153	5519	+
10153	6741	+
10153	55239	+
10153	22980	-
10153	53373	-
10153	84549	+
10153	6494	-
10153	1662	+
10153	114990	-
10153	9318	+
10153	27229	+
10153	1983	+
10153	81603	-
10153	55234	+
10153	10286	+
10153	84154	+
10153	153443	+
10153	79892	+
10153	57863	-
10153	988	+
10153	54931	+
10153	4125	-
10153	64431	+
10153	83480	+
10153	2995	-
10153	993	+
10153	6016	+
10153	9373	+
10153	22894	+
10153	84312	+
10153	148213	-
10153	129401	+
10153	55787	+
10153	83872	-
10153	83719	-
10153	5134	+
10153	80024	-
10153	55602	+
10153	5756	+
10153	51388	+
10153	5529	+
10153	7398	+
10153	54776	-
10153	5730	-
10153	79872	+
10153	8467	+
10153	90993	-
10153	26751	-
10153	10813	+
10153	2877	+
10153	491	-
10153	54962	+
10153	201232	+
10153	400629	+
10153	23408	+
10153	9702	+
10153	150372	-
10153	54107	+
10153	140838	+
10153	116064	+
10153	4815	-
10153	57405	+
10153	220992	+
10153	7456	-
10153	6117	+
10153	81624	+
10153	80777	+
10153	4199	+
10153	79184	+
10153	4331	+
10153	3836	+
10153	51246	-
10153	5863	-
10153	81628	-
10153	5682	+
10153	4869	+
10153	4015	-
10153	55217	+
10153	170626	-
10153	54845	+
10153	51523	-
10153	647033	+
10153	115704	-
10153	5919	-
10153	401331	-
10153	6578	-
10153	1665	+
10153	9628	+
10153	160760	+
10153	149175	+
10153	55260	-
10153	51299	+
10153	56548	+
10153	673	+
10153	116933	+
10153	441933	-
10153	8435	-
10153	9542	-
10153	29930	-
10153	84273	+
10153	9063	+
10153	286333	-
10153	59284	-
10153	2917	-
10153	199720	-
10153	5737	-
10153	23406	-
10153	440279	-
10153	27300	+
10153	5213	+
10153	83448	+
10153	6683	+
10153	140465	+
10153	79441	+
10153	152992	+
10153	55005	+
10153	9126	+
10153	51499	+
10153	207	-
10153	23786	+
10153	148741	-
10153	57409	-
10153	2731	+
10153	54981	+
10153	125111	-
10153	5244	-
10153	9685	+
10153	5106	+
10153	169792	-
10153	4054	-
10153	81931	+
10153	347730	+
10153	9443	+
10153	3758	-
10153	10326	-
10153	55199	+
10153	79917	-
10155	9040	+
10155	606551	+
10155	341056	+
10155	84878	+
10155	83743	+
10155	5725	+
10155	27043	+
10155	5424	+
10155	57505	+
10155	3303	+
10155	26024	+
10155	10514	+
10155	3978	+
10155	51146	-
10155	126526	+
10155	126068	-
10155	10202	+
10155	79901	-
10155	29889	+
10155	10036	+
10155	54103	-
10155	203069	+
10155	1786	+
10155	6597	+
10155	51752	-
10155	10346	-
10155	1616	+
10155	4101	+
10155	22984	+
10155	90226	+
10155	23435	+
10155	348110	-
10155	1108	+
10155	3276	+
10155	619190	+
10155	57799	+
10155	23492	-
10155	55425	-
10155	125	-
10155	128178	+
10155	4481	-
10155	26212	+
10155	5296	+
10155	653567	-
10155	51167	-
10155	25972	-
10155	285195	-
10155	5547	-
10155	28989	+
10168	55888	+
10168	284323	+
10168	60673	-
10168	10105	-
10168	1646	-
10168	28989	-
10168	4681	+
10168	57456	+
10168	218	-
10168	57536	+
10168	7562	+
10168	7965	-
10168	57016	-
10168	6457	+
10168	7568	+
10168	259289	+
10168	51364	-
10168	25998	+
10168	389538	-
10168	29959	-
10168	84331	-
10168	1911	+
10168	90338	+
10168	340069	+
10168	84687	+
10168	126231	+
10168	8517	-
10168	79036	-
10168	220323	-
10168	57761	-
10168	285172	+
10168	7565	+
10168	51528	-
10168	55010	-
10168	80263	-
10168	85417	+
10168	79744	+
10168	55083	-
10168	55731	+
10168	390212	+
10168	284369	+
10168	492303	-
10168	80758	-
10168	90120	-
10168	2717	-
10168	246243	-
10168	55196	+
10168	23051	+
10168	79026	+
10168	1046	+
10168	51276	+
10168	51155	-
10168	9675	-
10168	50619	-
10168	644591	-
10168	8676	-
10168	2706	-
10168	9683	+
10168	653333	+
10168	26960	+
10172	348327	+
10172	284307	+
10172	374928	+
10172	79744	+
10172	7627	+
10172	730051	+
10172	10780	+
10172	59348	+
10172	92749	-
10172	10781	+
10172	64430	+
10172	10795	+
10172	58512	+
10172	161823	+
10172	283219	-
10172	6014	+
10172	554236	+
10172	54853	-
10172	2898	+
10172	122183	+
10172	23746	-
10172	387082	+
10172	337972	-
10172	84303	-
10172	84328	+
10194	284273	+
10194	54893	+
10194	93986	+
10194	116092	-
10194	5706	-
10194	282618	-
10194	55534	+
10194	5684	-
10194	22866	+
10194	4116	-
10194	11164	-
10194	9771	+
10194	64960	-
10194	84936	-
10194	64963	-
10194	129531	-
10194	51118	-
10194	127602	-
10194	3707	+
10194	4093	+
10194	10556	-
10194	54737	+
10194	6637	-
10194	8624	-
10194	5689	-
10194	400793	+
10194	84844	-
10194	57600	+
10194	114805	+
10194	8019	+
10194	7450	+
10194	284654	+
10194	25984	-
10194	51614	-
10194	10109	-
10194	6120	-
10194	7873	-
10194	114987	+
10194	23158	+
10194	7347	-
10194	64983	-
10194	56943	-
10194	114049	-
10194	55839	-
10194	5719	-
10194	1184	+
10194	10474	-
10194	390081	+
10194	440153	+
10194	862	+
10194	8872	-
10194	662	-
10194	5435	-
10194	10395	+
10194	84300	-
10194	51127	-
10194	57415	-
10194	375484	+
10194	55038	-
10194	26472	-
10194	84239	+
10194	5718	-
10194	23421	-
10194	5427	-
10194	6635	-
10194	84307	+
10194	161198	+
10194	80308	-
10194	9442	-
10194	57188	+
10194	10807	-
10194	373	+
10194	203413	-
10194	4114	-
10194	55957	-
10194	114928	+
10194	2623	+
10194	54949	-
10194	151188	-
10194	9353	+
10194	51129	-
10194	146862	+
10194	128864	-
10194	81318	+
10194	54921	+
10194	26232	-
10194	27089	-
10194	3552	-
10194	3899	+
10194	643923	+
10215	10525	+
10215	80320	+
10215	3785	+
10215	26062	-
10215	6778	-
10215	137814	+
10215	130612	+
10215	6342	-
10215	55220	+
10215	100303453	+
10215	5047	+
10215	6523	-
10215	7184	+
10215	219409	-
10215	353500	+
10215	593	-
10215	100151683	+
10215	339390	+
10215	541465	+
10215	6124	-
10215	100124534	+
10215	26064	+
10215	22906	-
10215	84065	-
10215	64184	-
10215	123	+
10215	119774	+
10215	573	-
10215	127	-
10215	619567	+
10215	79953	+
10215	347516	-
10215	3816	+
10215	7428	+
10215	283197	-
10215	1653	+
10215	3975	+
10215	90737	+
10215	752014	-
10215	909	+
10215	2527	+
10215	92421	+
10215	1306	+
10215	94025	+
10215	157556	-
10215	23086	-
10215	85415	+
10215	2780	+
10215	9094	+
10215	8403	+
10215	100124535	+
10215	284047	+
10215	51028	-
10215	389125	-
10215	10817	+
10215	692206	+
10215	2768	+
10215	5145	-
10215	5956	+
10215	6656	+
10215	2563	+
10215	6515	+
10215	50807	+
10215	79867	+
10215	9355	+
10215	441234	+
10215	27329	-
10215	119749	-
10215	114787	+
10215	26806	+
10215	222546	+
10215	10371	+
10215	7763	-
10215	127262	-
10215	9973	-
10215	100126780	+
10224	5054	-
10224	5829	-
10224	163051	+
10224	2316	-
10224	3667	-
10224	9780	-
10224	84869	+
10224	11168	+
10224	2274	-
10224	4651	-
10224	87	-
10224	7552	+
10224	84062	+
10224	50486	-
10224	80149	-
10224	6525	-
10224	10227	-
10224	5675	-
10224	79979	+
10224	90853	-
10224	3294	-
10224	23398	+
10224	115196	+
10224	5329	-
10224	401335	-
10224	5650	-
10224	83959	+
10224	2188	+
10224	8915	-
10224	283927	+
10224	351	-
10224	84450	+
10224	4907	-
10224	148254	+
10224	51095	+
10224	3069	-
10224	54212	+
10224	4884	-
10224	886	+
10224	64063	-
10224	54973	-
10224	388701	-
10224	51135	+
10224	3557	-
10224	54869	-
10224	55884	-
10224	51268	+
10224	164284	-
10224	6373	-
10224	83866	+
10224	4983	+
10224	139170	-
10260	168850	+
10260	54878	+
10260	64328	+
10260	4750	+
10260	55802	+
10260	6595	+
10260	2582	-
10260	55957	-
10260	80772	-
10260	118812	-
10260	54822	+
10260	23473	+
10260	10653	-
10260	9973	-
10260	1730	+
10260	92345	+
10260	1374	+
10260	1140	-
10260	4863	+
10260	347735	-
10260	80031	+
10260	5978	+
10260	1997	+
10260	84988	-
10260	200185	-
10260	2275	-
10260	5934	+
10260	29126	+
10260	51752	+
10260	2059	+
10260	54936	-
10260	2787	-
10260	7389	-
10260	55252	+
10260	154091	+
10260	538	+
10260	83442	-
10260	84661	-
10260	997	-
10260	10381	-
10260	79143	-
10260	83857	+
10260	10513	+
10260	111	+
10260	692106	-
10260	23150	+
10260	284541	-
10260	54828	+
10260	6184	-
10260	23357	+
10260	26061	+
10260	7543	+
10260	7716	+
10260	6692	-
10260	3157	+
10260	11194	-
10260	51330	-
10260	79612	+
10260	54737	+
10260	2906	-
10260	3552	-
10260	4188	-
10260	4249	+
10260	79006	-
10260	10095	-
10260	157680	+
10260	344657	-
10260	83858	-
10260	9770	+
10260	2873	-
10260	79633	+
10260	414236	-
10260	56256	+
10260	2657	-
10260	100507436	-
10260	65992	-
10260	267004	-
10260	319100	+
10260	149041	+
10260	54069	-
10260	221718	-
10260	9648	+
10260	219990	-
10260	143379	-
10260	26262	-
10260	51306	+
10260	6387	+
10260	116511	+
10260	60343	-
10260	29798	-
10260	54832	+
10260	9874	+
10260	653268	-
10260	84419	-
10260	285704	+
10260	4897	+
10260	400966	+
10260	51160	-
10260	23313	-
10265	79191	+
10265	26053	+
10265	83539	+
10265	8857	+
10265	23368	+
10265	5295	+
10265	150356	+
10265	667	-
10265	389337	+
10265	200162	+
10265	116211	-
10265	26128	-
10265	6779	+
10265	27146	+
10265	1747	+
10265	5130	-
10265	93622	+
10265	129880	+
10265	89872	+
10265	5030	+
10265	85378	+
10265	245935	-
10265	222484	+
10265	56243	+
10265	84317	+
10265	1947	+
10265	26298	+
10265	442038	+
10265	26147	-
10265	79781	+
10265	83943	+
10265	54785	+
10265	8074	+
10265	60385	+
10265	91289	+
10265	7436	+
10265	100151643	+
10265	767594	+
10265	90324	+
10265	91782	+
10265	92960	+
10265	266971	-
10265	11232	-
10265	4598	+
10265	159989	+
10265	27328	+
10265	84700	+
10265	5625	+
10265	728656	+
10265	643923	+
10265	85569	-
10265	51231	+
10265	5896	-
10265	8824	+
10265	10911	-
10265	7481	-
10265	133482	-
10265	23493	+
10265	124538	+
10265	389383	-
10265	389320	+
10265	121214	-
10265	64969	-
10265	64800	+
10265	83546	-
10265	283111	+
10265	1192	-
10265	1798	-
10265	65082	-
10265	90557	+
10265	9658	+
