10002	8459	+
10002	81851	+
10002	5535	-
10002	10458	+
10002	158511	+
10002	2689	+
10002	63894	-
10002	389090	+
10002	58490	-
10002	81029	+
10002	254187	+
10002	352954	+
10002	100133669	+
10002	1419	-
10002	80150	+
10002	390113	+
10002	7107	-
10002	339175	-
10002	164380	-
10002	55585	-
10002	100151684	+
10002	6911	+
10002	283507	+
10002	100129354	+
10002	27151	+
10002	80162	+
10002	127074	-
10002	171019	-
10002	119687	-
10002	51206	+
10002	64344	+
10002	6597	-
10002	60439	+
10002	2623	+
10002	387644	+
10002	374286	+
10002	348932	+
10002	1801	+
10002	139067	-
10002	388698	+
10002	85293	-
10002	1357	+
10002	56660	+
10002	27099	+
10002	126206	+
10002	51	-
10002	5348	+
10002	10061	-
10002	93668	-
10002	51098	-
10002	65264	-
10002	286234	+
10002	448831	-
10002	5955	-
10002	25812	+
10002	57018	+
10002	375346	-
10002	2830	+
10002	58477	-
10002	8369	-
10002	27042	-
10002	678	+
10002	3192	-
10002	199974	+
10002	50805	+
10002	164684	+
10002	3670	-
10002	7752	-
10002	353323	-
10002	5956	+
10002	127623	+
10002	64756	+
10002	441521	-
10002	619190	+
10002	171482	+
10002	27231	+
10002	56912	+
10002	339906	+
10002	57505	+
10002	2661	+
10002	93978	-
10002	6521	-
10002	6509	-
10002	8888	+
10009	10735	+
10009	3188	+
10009	257397	+
10009	546	+
10009	54887	+
10009	3796	+
10009	60496	+
10009	25871	+
10009	51362	+
10009	388407	-
10009	25942	+
10009	81858	-
10009	23389	+
10009	10526	+
10009	51366	+
10009	84928	+
10009	55206	+
10009	25798	-
10009	63939	+
10009	6049	+
10009	253943	+
10009	23161	+
10009	6878	-
10009	9693	+
10009	64854	+
10009	53407	-
10009	8455	+
10009	150737	+
10009	7342	+
10009	85474	-
10009	4850	+
10009	23165	+
10009	51006	-
10009	149371	+
10009	375133	-
10009	51027	-
10009	259230	+
10009	23091	+
10009	285267	+
10009	23358	+
10009	140775	+
10009	23275	-
10009	90480	-
10009	4891	+
10009	9728	+
10009	64743	-
10009	4793	-
10009	5883	-
10009	56946	+
10009	10141	+
10009	5290	+
10009	53905	-
10009	146547	-
10009	9821	+
10009	1819	-
10009	496	+
10009	10755	-
10009	5914	-
10009	9439	+
10009	54531	-
10009	253959	+
10009	10564	+
10009	822	-
10009	54769	+
100101467	7556	+
100101467	222	-
100101467	3653	+
100101467	347746	+
100101467	5686	-
100101467	79027	+
100101467	63934	+
100101467	5349	-
100101467	80108	+
100101467	90589	+
100101467	578	-
100101467	51700	-
100101467	641977	+
100101467	5713	-
100101467	51317	+
100101467	84140	+
100101467	200810	-
100101467	253935	+
100101467	128497	+
100101467	1512	-
100101467	23339	+
100101467	10055	-
100101467	6611	-
100101467	81873	-
100101467	126069	+
100101467	8029	+
100101467	89958	-
100101467	9884	+
100101467	57228	-
100101467	51086	+
100101467	692148	+
100101467	11138	+
100101467	23585	-
100101467	389	-
100101467	2570	+
100101467	2926	-
100101467	6659	-
100101467	55655	-
100101467	79868	+
100101467	387914	-
100101467	56204	+
100101467	5707	-
100101467	26774	-
100101467	6559	+
100101467	59067	+
100101467	90141	-
100101467	5570	+
100101467	80072	+
100101467	91156	+
100101467	2169	-
100101467	5724	-
100101467	131	-
100101467	57864	-
100101467	135293	+
100101467	57573	+
100101467	8877	-
100101467	11270	-
100101467	3273	-
100101467	26508	+
100101467	158234	+
100101467	10367	-
100101467	645121	-
100101467	7581	+
100101467	3215	-
100101467	80816	+
100101467	348158	+
100101467	55920	-
100101467	9550	-
100101467	364	+
100101467	57605	+
100101467	29127	-
100101467	60485	-
100101467	79639	-
100101467	100131454	+
100101467	400506	-
100101467	55691	+
100101467	80381	-
100101467	11086	+
100101467	2897	+
100101467	51726	-
100101467	199675	-
100101467	3419	-
100101467	100133669	-
100101467	285313	+
100101467	113174	-
100101467	10246	+
100101467	391211	-
100125288	8620	+
100125288	283870	+
100125288	55692	+
100125288	177	+
100125288	1427	+
100125288	84074	+
100125288	92715	+
100125288	653635	+
100125288	6339	+
100125288	64746	-
100125288	146705	+
100125288	338657	+
100125288	80152	+
100125288	339942	+
100125288	22803	-
100125288	1375	+
100125288	730051	+
100125288	79706	+
100125288	81890	+
100125288	79661	+
100125288	81576	+
100125288	29882	+
100125288	149483	+
100125288	55621	+
100125288	1241	+
100125288	286451	-
100125288	339229	+
100125288	2027	+
100125288	645811	+
100125288	112812	+
100125288	85378	+
100125288	172	+
100125288	7692	+
100125288	10097	-
100125288	6711	-
100125288	3299	+
100125288	5238	-
100125288	100288778	+
100125288	8558	+
100125288	284459	+
100125288	80829	-
100125288	255239	+
100125288	3185	-
100125288	821	-
100125288	386593	+
100125288	5913	+
100125288	2057	+
100125288	339883	+
100125288	284306	+
100125288	162968	+
100125288	653268	+
100125288	57053	+
100125288	84705	+
100125288	8632	+
100125288	83886	+
100125288	127579	+
100125288	22858	-
100125288	124093	+
100125288	260294	+
100125288	119016	+
100125288	6553	+
100125288	57622	+
100125288	90332	+
100125288	221830	-
100125288	9318	-
100125288	29896	+
100125288	84640	-
100125288	1398	-
100125288	5529	-
100125288	23231	-
100125288	55832	-
100125288	3483	+
100125288	283742	-
100125288	8239	-
100125288	11182	+
100125288	9690	-
100125288	51668	+
100125288	51014	-
100125288	80863	+
100125288	27343	+
100125288	393	+
100125288	3987	-
100125288	55738	+
100125288	100170229	+
100125288	85476	-
100125288	115992	+
100125288	8681	+
100125288	10500	+
100125288	1198	+
100125288	7769	+
100125288	6894	+
100125288	11159	+
100125288	10664	-
