10002	373509	+
10002	1427	+
10002	8620	+
10002	390595	+
10002	100132403	+
10002	84103	+
10002	144715	+
10002	728609	+
10002	100616143	+
10002	25957	+
10002	6473	+
10002	26261	+
10002	57639	+
10002	340980	+
10002	1106	+
10002	85290	-
10002	148870	+
10002	654348	+
10002	4099	+
10002	30819	+
10002	5197	-
10002	406906	+
10002	8681	+
10002	5146	+
10002	122773	+
10002	345611	+
10002	9066	+
10002	8424	+
10002	196993	+
10002	6457	+
10002	22895	+
10002	53354	-
10002	258	+
10002	55008	+
10002	5224	+
10002	23538	+
10002	9084	+
10002	100169989	+
10002	100423039	-
10002	3904	-
10002	406890	+
10002	26281	+
10002	317760	+
10002	6531	+
10002	147081	+
10002	23649	-
10002	166348	+
10002	28998	-
10002	142913	+
10002	80832	-
10002	729737	+
10002	100616260	+
10002	1508	-
10002	66004	+
10002	677773	-
10002	79768	+
10002	10748	+
10002	84627	-
10002	5447	-
10002	8292	+
10002	51270	+
10002	10349	+
10002	401265	+
10002	64756	-
10002	112495	-
10002	406900	+
10002	8354	-
10002	51562	+
10002	374462	+
10002	26155	-
10002	56667	-
10002	3817	+
10002	47	-
10002	100616238	+
10002	139538	-
10002	5164	+
10002	6648	-
10002	2001	+
10002	388585	-
10002	100379132	+
10002	406957	+
10002	2998	+
10002	50839	+
10002	79734	-
10002	100507053	+
10002	26272	+
10002	767594	+
10002	390271	+
10002	80213	-
10002	6613	-
10002	440799	+
10002	5160	-
10002	51230	+
10002	25895	+
10002	23732	+
10002	79571	-
10002	29945	+
10002	10533	+
10002	284009	+
10002	10936	+
10002	27289	-
10002	187	-
10002	221613	+
10002	100422824	+
10002	285231	+
10002	58524	-
10002	89	+
10002	5296	-
10002	221960	+
10002	345630	+
10002	26771	+
10002	151484	+
10002	390167	-
10002	574474	+
10002	283303	-
10002	57189	+
10002	54550	+
10002	5493	+
10002	22902	+
10002	91137	-
10002	387990	+
10002	146779	+
10002	3250	+
10002	338557	-
10002	3232	+
10002	6854	+
10002	59082	-
10002	253558	+
10002	7088	+
10002	8549	-
10002	26136	+
10002	127623	+
10002	449520	+
10002	692110	+
10002	57864	+
10002	728262	+
10002	100505715	+
10002	407035	+
10002	58529	+
10002	8086	-
10002	155184	+
10002	390260	+
10002	7203	-
10002	3151	-
10002	100506164	+
10002	337969	-
10002	11340	-
10002	390078	+
10002	253018	+
10002	100033453	+
10009	55922	+
10009	9949	+
10009	10735	+
10009	8450	+
10009	10495	+
10009	9767	+
10009	139231	+
10009	56180	+
10009	51132	+
10009	64860	+
10009	9643	+
10009	10365	-
10009	1871	+
10009	23190	+
10009	57532	+
10009	283464	+
10009	158747	+
10009	4212	-
10009	9159	-
10009	347344	+
10009	51114	+
10009	10524	-
10009	1184	+
10009	10224	+
10009	51765	+
10009	5187	-
10009	57187	+
10009	55676	+
10009	26779	+
10009	2187	+
10009	3611	-
10009	10965	-
10009	4504	-
10009	7247	+
10009	4499	-
10009	7569	+
10009	25926	+
10009	9889	+
10009	1152	-
10009	79777	-
10009	117	-
10009	116173	-
10009	6049	+
10009	4500	-
10009	9413	-
10009	55248	+
10009	3091	+
10009	10137	+
10009	10143	-
10009	29929	+
10009	64066	-
10009	4686	+
10009	151313	-
10009	80304	+
10009	1643	-
10009	134111	-
10009	51617	-
10009	5422	+
10009	3364	+
10009	123803	-
