adep,hour_utc,taxi_min
EGLL,13,18
LEBL,9,13
ESSA,9,15
LSZH,11,11
EIDW,12,14
ENGM,10,27
EGAC,7,10
LTFM,5,25
KLAX,21,10
LTFM,15,25
LOWW,5,13
LSZH,16,9
ESSA,12,15
LSGG,16,13
LTAT,16,5
LEAL,10,11
EGKK,19,20
KMIA,21,10
LTFM,4,25
LTFM,14,25
ESSA,8,15
LSGG,10,13
LTFM,4,25
EGPF,8,11
LEBL,8,11
KCLT,23,10
EKCH,7,10
LTFJ,8,15
EDDF,8,10
LTFM,6,25
EBBR,5,13
LSZH,12,11
LTFM,12,25
LGAV,6,13
LROP,7,10
LTFM,7,25
KLAX,2,10
LFPG,10,15
LEMG,10,12
EIDW,6,18
LTFM,5,25
LTFM,5,25
EDDB,10,7
LSZH,6,12
LTAC,6,5
EDDL,15,13
EHAM,12,12
KDFW,23,10
KMIA,23,10
LSZH,11,11
LTFM,17,25
LSZH,11,12
EIDW,6,18
UBBB,18,10
LTFM,17,25
LSZH,17,9
EKCH,13,9
EICK,6,10
EDDH,13,9
ENBO,18,6
EKCH,13,10
LOWW,8,13
LTFM,5,25
LTFM,6,25
EGCC,6,14
EBBR,20,10
LTFM,16,25
LTFM,4,25
EDDL,12,13
KDFW,23,10
LTFM,16,25
ENGM,6,28
LTFM,6,25
EIDW,6,18
LSGG,6,13
LSZH,6,10
LEMG,19,12
ESGG,8,10
LSZH,16,12
LCLK,12,14
EDDB,7,7
LTFJ,12,15
LTAC,17,5
LTFJ,12,15
EDDF,12,13
EKCH,13,10
EBBR,10,9
LEPA,16,11
EDDM,16,11
LSZH,16,10
LEAL,11,11
LTFM,8,25
LTFM,8,25
EGFF,13,9
LTFM,12,25
LOWW,9,14
LTFM,5,25
EKCH,8,10
LTFJ,8,15
EKCH,15,10
EKCH,8,10
LTFJ,8,15
LTFJ,8,15
LSZH,16,9
LFMN,14,8
EKCH,5,10
ESSA,14,15
LEMD,11,18
LEMD,11,16
EGCC,6,16
LTFM,5,25
LSGG,15,13
LSZH,16,9
EGLL,18,10
EIDW,14,14
LTFM,6,25
LSZH,16,11
EGKK,8,20
EDDB,8,6
EGLL,17,16
EGLL,14,23
LSZH,17,10
LTFM,19,25
LFMN,15,8
EBBR,9,8
LTAC,14,5
EIDW,14,14
LTFJ,8,15
EIDW,10,15
EGCC,8,15
LEPA,12,9
LEMG,14,11
EGLL,11,14
LOWW,11,10
LFSB,12,7
LTFM,5,25
LTFM,5,25
LTFM,6,25
LOWW,16,13
EGLL,11,20
EGPH,11,13
EBBR,9,12
ENHD,18,5
LEVC,14,10
EGLL,16,17
ENGM,15,20
EKCH,7,6
EIDW,6,18
EBBR,7,10
KJFK,0,35
EGLL,9,13
LIRF,10,19
LROP,7,15
LBSF,8,11
EGBB,11,15
LSZH,11,9
EGCC,11,16
LFPG,11,14
EPWA,8,11
ESMS,13,10
EDDF,11,14
LFPG,11,17
EKCH,12,13
LTFM,6,25
LTFM,13,25
EBBR,8,9
EDDH,19,9
EHAM,21,12
LOWW,16,13
LTFM,5,25
EIDW,15,14
KMIA,21,10
LEMD,12,16
EIDW,17,15
EIDW,10,15
LFBO,10,10
LTFM,5,25
EGLL,12,19
LTFM,6,25
LTBS,6,6
EIDW,6,18
LOWW,20,13
ESGG,11,10
LTFJ,13,15
ESNZ,12,5
LGAV,17,13
LPFR,17,10
EDDH,17,10
LSZH,6,17
LTFM,21,25
EIDW,7,18
KMIA,1,10
LTFM,4,25
LTFM,5,25
ESPA,16,10
EGPH,12,7
EETN,8,12
LOWW,13,13
EGLL,13,13
LTFM,6,25
ENZV,15,10
EHAM,10,13
EIDW,7,18
LSZH,12,10
EGAC,7,10
LTFM,5,25
EGLL,17,10
EKCH,19,8
ESGG,10,10
LFLL,6,16
LSGG,12,13
LTFJ,6,15
LGAV,3,12
EBBR,8,10
ESGG,6,10
LOWW,21,10
LSZH,14,11
LTFM,12,25
LSZH,16,11
LOWW,16,10
EBAW,12,5
EGKK,12,20
LSZH,16,9
LTAC,10,5
LTFM,15,25
LOWW,16,10
LEMG,16,11
EDDB,8,7
EDDB,10,7
EIDW,12,15
LSZH,12,10
LTFM,8,25
EDDH,8,9
LTFM,5,25
LTFJ,10,21
LSZH,6,13
LSZH,6,22
LTFM,6,25
LROP,13,15
EDDM,18,11
LEMG,18,11
KBOS,23,20
LOWW,11,13
EGLL,17,10
LTFE,19,10
LTFM,14,25
ENBR,14,15
KDFW,22,10
LSGG,14,13
LFPG,15,14
LTFM,12,25
KLAX,3,10
KORD,3,25
LSGG,10,13
EGLL,8,20
KCLT,21,10
LGAV,15,13
